Year,kg_per_capita
1961,30.65
1962,29.37
1963,28.26
1964,26.54
1965,24.83
1966,25.08
1967,24.54
1968,23.1
1969,24.43
1970,26.31
1971,24.87
1972,18.4
1973,11.79
1974,13.94
1975,20.09
1976,22.57
1977,31.46
1978,42.26
1979,49.51
1980,49.62
1981,47.79
1982,46.49
1983,44.8
1984,43.14
1985,40.03
1986,39.59
1987,39.23
1988,34.81
1989,28.16
1990,32.15
1991,31.32
1992,33.19
1993,28.47
1994,29.07
1995,31.26
1996,29.94
1997,32.74
1998,28.71
1999,30.74
2000,30.18
2001,24.19
2002,31.31
2003,29.85
2004,32.15
2005,35.12
2006,35.76
2007,36.52
2008,43.03
2009,49.68
2010,63.34
2011,58.33
2012,52.18
2013,40.8
2014,22.57
2015,36.16
2016,34.1
2017,24.16
2018,19.5
2019,25.36
2020,15.45
2021,24.05
2022,24.53
2023,26.52
