Year,kg_per_capita
1961,0.2
1962,0.28
1963,0.29
1964,0.41
1965,0.4
1966,0.39
1967,0.38
1968,0.43
1969,0.31
1970,0.22
1971,0.22
1972,0.22
1973,0.16
1974,0.18
1975,0.15
1976,0.16
1977,0.14
1978,0.14
1979,0.17
1980,0.19
1981,0.16
1982,0.12
1983,0.23
1984,0.1
1985,0.12
1986,0.11
1987,0.16
1988,0.16
1989,0.21
1990,0.29
1991,0.35
1992,0.29
1993,0.32
1994,0.41
1995,0.47
1996,0.43
1997,0.44
1998,0.36
1999,0.49
2000,0.55
2001,0.64
2002,0.76
2003,0.36
2004,0.55
2005,0.58
2006,0.53
2007,0.58
2008,0.59
2009,0.58
2010,0.56
2011,0.39
2012,0.4
2013,0.43
2014,0.52
2015,0.52
2016,0.65
2017,0.71
2018,0.75
2019,0.81
2020,0.78
2021,0.8
2022,0.88
2023,0.82
