Year,kg_per_capita
1961,16.28
1962,14.97
1963,15.95
1964,17.84
1965,15.59
1966,15.01
1967,11.78
1968,10.7
1969,8.88
1970,7.89
1971,0.43
1972,4.39
1973,9.19
1974,11.36
1975,20.59
1976,32.36
1977,37.34
1978,43.74
1979,40.15
1980,36.94
1981,31.06
1982,26.26
1983,18.25
1984,24.19
1985,26.48
1986,24.66
1987,27.69
1988,27.5
1989,26.48
1990,26.6
1991,23.37
1992,22.81
1993,18.65
1994,19.09
1995,25.3
1996,25.66
1997,28.73
1998,22.17
1999,23.28
2000,21.31
2001,19.99
2002,18.9
2003,18.74
2004,18.92
2005,18.44
2006,19.08
2007,19.77
2008,20.23
2009,20.91
2010,9.25
2011,8.9
2012,9.02
2013,9.19
2014,9.65
2015,9.75
2016,9.76
2017,9.85
2018,9.49
2019,10.24
2020,12.21
2021,10.06
2022,9.95
2023,9.82
