Year,kg_per_capita
1961,14.25
1962,14.52
1963,16.57
1964,11.1
1965,2.78
1966,2.98
1967,3.4
1968,3.11
1969,2.79
1970,5.05
1971,3.74
1972,3.83
1973,3.53
1974,2.52
1975,2.74
1976,4.05
1977,1.99
1978,2.3
1979,2.39
1980,2.27
1981,3.09
1982,3.32
1983,3.57
1984,4.13
1985,3.18
1986,2.97
1987,2.29
1988,2.7
1989,2.6
1990,3.72
1991,3.04
1992,3.15
1993,3.93
1994,3.55
1995,3.67
1996,3.39
1997,3.78
1998,3.46
1999,3.22
2000,3.43
2001,3.5
2002,3.55
2003,3.8
2004,3.86
2005,3.91
2006,3.85
2007,3.76
2008,3.42
2009,3.98
2010,3.93
2011,3.71
2012,6.0
2013,5.13
2014,3.73
2015,6.82
2016,3.23
2017,2.6
2018,3.29
2019,7.21
2020,6.73
2021,6.84
2022,6.55
2023,8.15
