Year,kg_per_capita
1961,1.16
1962,1.48
1963,1.09
1964,1.25
1965,1.37
1966,1.28
1967,1.28
1968,1.23
1969,1.21
1970,1.3
1971,1.18
1972,1.29
1973,1.23
1974,1.3
1975,2.05
1976,1.5
1977,2.03
1978,2.2
1979,2.02
1980,2.17
1981,2.43
1982,2.75
1983,2.28
1984,1.47
1985,1.8
1986,1.71
1987,2.03
1988,1.84
1989,2.04
1990,1.77
1991,1.79
1992,1.82
1993,1.75
1994,1.65
1995,1.69
1996,1.55
1997,1.63
1998,1.54
1999,1.4
2000,1.53
2001,1.59
2002,1.68
2003,1.42
2004,1.44
2005,1.68
2006,1.45
2007,1.52
2008,1.76
2009,1.62
2010,2.45
2011,2.51
2012,3.19
2013,2.47
2014,2.92
2015,2.97
2016,5.04
2017,5.99
2018,6.13
2019,6.28
2020,5.38
2021,5.87
2022,4.61
2023,4.26
