Year,kg_per_capita
1961,11.25
1962,11.23
1963,11.3
1964,11.0
1965,11.18
1966,11.62
1967,14.01
1968,12.87
1969,15.41
1970,14.23
1971,15.43
1972,16.23
1973,16.29
1974,18.4
1975,19.57
1976,18.86
1977,19.63
1978,19.84
1979,18.1
1980,22.0
1981,22.59
1982,22.78
1983,21.17
1984,20.13
1985,20.2
1986,19.01
1987,19.94
1988,19.65
1989,19.15
1990,19.17
1991,18.49
1992,17.48
1993,13.61
1994,18.82
1995,11.29
1996,8.38
1997,10.36
1998,8.79
1999,9.17
2000,9.03
2001,8.34
2002,9.17
2003,10.4
2004,11.59
2005,13.84
2006,17.68
2007,13.18
2008,13.54
2009,20.98
2010,22.95
2011,30.33
2012,29.96
2013,29.18
2014,35.89
2015,33.9
2016,37.36
2017,25.11
2018,31.14
2019,31.91
2020,37.34
2021,31.25
2022,32.65
2023,33.12
