Year,kg_per_capita
1961,0.23
1962,0.23
1963,0.29
1964,0.26
1965,0.26
1966,0.25
1967,0.27
1968,0.27
1969,0.25
1970,0.29
1971,0.31
1972,0.3
1973,0.28
1974,0.31
1975,0.52
1976,0.59
1977,0.67
1978,0.52
1979,0.67
1980,0.67
1981,0.55
1982,0.55
1983,0.4
1984,0.47
1985,0.54
1986,0.62
1987,0.77
1988,0.88
1989,0.96
1990,0.91
1991,0.72
1992,0.76
1993,0.81
1994,0.94
1995,0.92
1996,1.15
1997,0.95
1998,0.81
1999,0.81
2000,0.87
2001,0.79
2002,0.79
2003,0.61
2004,0.49
2005,0.68
2006,0.83
2007,0.64
2008,0.58
2009,0.75
2010,1.01
2011,0.86
2012,0.82
2013,0.67
2014,1.0
2015,0.88
2016,1.09
2017,1.12
2018,1.12
2019,1.11
2020,0.93
2021,1.03
2022,1.23
2023,1.13
