Year,kg_per_capita
1961,0.63
1962,0.68
1963,0.5
1964,0.42
1965,0.47
1966,0.49
1967,0.45
1968,0.42
1969,0.42
1970,0.81
1971,0.82
1972,0.77
1973,0.88
1974,1.04
1975,1.42
1976,1.14
1977,1.48
1978,1.64
1979,0.73
1980,0.76
1981,0.47
1982,0.88
1983,0.77
1984,0.61
1985,0.79
1986,0.79
1987,0.83
1988,0.68
1989,0.91
1990,0.74
1991,0.72
1992,0.65
1993,0.61
1994,0.78
1995,0.73
1996,0.75
1997,0.72
1998,1.02
1999,1.18
2000,0.96
2001,1.13
2002,1.01
2003,0.9
2004,0.72
2005,0.99
2006,1.5
2007,1.46
2008,1.98
2009,1.35
2010,1.32
2011,1.11
2012,1.27
2013,1.25
2014,1.86
2015,1.86
2016,2.19
2017,1.87
2018,2.4
2019,2.03
2020,2.51
2021,2.62
2022,2.17
2023,2.56
