Year,kg_per_capita
1961,1.85
1962,2.01
1963,2.07
1964,1.87
1965,2.33
1966,1.35
1967,0.86
1968,0.64
1969,0.79
1970,1.2
1971,2.8
1972,1.28
1973,1.53
1974,1.57
1975,1.11
1976,2.64
1977,1.42
1978,3.23
1979,1.98
1980,10.51
1981,9.09
1982,7.92
1983,8.53
1984,9.95
1985,6.59
1986,12.44
1987,9.37
1988,7.83
1989,6.82
1990,13.04
1991,7.24
1992,13.43
1993,11.25
1994,10.68
1995,10.92
1996,11.49
1997,10.98
1998,9.38
1999,11.86
2000,6.98
2001,7.04
2002,8.6
2003,8.18
2004,7.02
2005,4.53
2006,4.86
2007,10.45
2008,12.83
2009,12.88
2010,8.3
2011,5.21
2012,4.45
2013,4.34
2014,5.0
2015,4.67
2016,4.45
2017,4.79
2018,6.64
2019,2.62
2020,1.83
2021,1.65
2022,1.37
2023,8.97
