Year,kg_per_capita
1961,90.74
1962,86.05
1963,86.61
1964,89.84
1965,92.31
1966,87.07
1967,86.14
1968,82.67
1969,82.87
1970,84.21
1971,87.67
1972,90.85
1973,91.05
1974,93.86
1975,96.33
1976,95.53
1977,92.91
1978,88.17
1979,90.25
1980,96.77
1981,96.97
1982,97.99
1983,85.69
1984,97.41
1985,97.67
1986,96.75
1987,93.58
1988,92.88
1989,96.18
1990,93.75
1991,84.64
1992,87.93
1993,88.88
1994,89.03
1995,92.77
1996,99.05
1997,97.4
1998,92.26
1999,100.07
2000,103.74
2001,104.11
2002,108.3
2003,107.22
2004,116.3
2005,120.54
2006,120.81
2007,128.58
2008,130.96
2009,123.1
2010,168.64
2011,172.32
2012,174.98
2013,176.63
2014,178.34
2015,185.98
2016,163.41
2017,176.74
2018,177.07
2019,190.95
2020,188.45
2021,194.91
2022,198.54
2023,200.38
