Year,kg_per_capita
1961,2.54
1962,3.03
1963,2.93
1964,2.97
1965,3.75
1966,3.26
1967,3.11
1968,3.11
1969,3.25
1970,3.41
1971,3.61
1972,3.06
1973,3.37
1974,4.12
1975,4.1
1976,4.33
1977,3.77
1978,3.2
1979,3.26
1980,3.07
1981,3.04
1982,3.38
1983,2.56
1984,3.04
1985,1.91
1986,1.7
1987,1.33
1988,1.47
1989,1.91
1990,1.66
1991,1.89
1992,1.81
1993,1.91
1994,2.01
1995,1.39
1996,1.83
1997,1.62
1998,1.28
1999,1.57
2000,1.37
2001,1.41
2002,1.32
2003,1.45
2004,1.52
2005,1.47
2006,1.53
2007,1.38
2008,1.44
2009,1.32
2010,0.08
2011,0.12
2012,0.1
2013,0.1
2014,0.1
2015,0.09
2016,0.09
2017,0.11
2018,0.1
2019,0.08
2020,0.14
2021,2.32
2022,2.06
2023,1.88
