Year,kg_per_capita
1961,24.47
1962,22.29
1963,23.23
1964,23.54
1965,21.11
1966,19.8
1967,18.83
1968,17.91
1969,18.28
1970,18.38
1971,16.04
1972,15.46
1973,14.94
1974,18.09
1975,21.49
1976,17.58
1977,18.41
1978,20.8
1979,21.91
1980,19.89
1981,17.08
1982,15.52
1983,12.79
1984,11.79
1985,11.62
1986,11.71
1987,11.25
1988,10.63
1989,9.84
1990,9.35
1991,9.0
1992,8.97
1993,8.92
1994,8.83
1995,8.64
1996,8.27
1997,7.81
1998,6.71
1999,6.6
2000,6.42
2001,6.19
2002,6.11
2003,5.96
2004,5.82
2005,6.03
2006,5.84
2007,5.81
2008,5.7
2009,5.49
2010,4.8
2011,4.63
2012,4.66
2013,4.7
2014,4.74
2015,4.82
2016,4.7
2017,4.71
2018,4.55
2019,4.49
2020,4.61
2021,4.57
2022,4.64
2023,4.31
