Year,Value
1961-01-01,1041060.0
1962-01-01,1030900.0
1963-01-01,1025050.0
1964-01-01,993940.0
1965-01-01,959650.0
1966-01-01,999364.0
1967-01-01,1007398.0
1968-01-01,976084.0
1969-01-01,1091770.0
1970-01-01,1310815.0
1971-01-01,1479837.0
1972-01-01,1400115.0
1973-01-01,1157499.0
1974-01-01,1528330.0
1975-01-01,2065333.0
1976-01-01,2193181.0
1977-01-01,2582429.0
1978-01-01,3340673.0
1979-01-01,3927457.0
1980-01-01,4093401.0
1981-01-01,3996064.0
1982-01-01,4067926.0
1983-01-01,3685381.0
1984-01-01,3850808.0
1985-01-01,3704928.0
1986-01-01,3831728.0
1987-01-01,3780135.0
1988-01-01,3645135.0
1989-01-01,3190324.0
1990-01-01,3539616.0
1991-01-01,3662305.0
1992-01-01,3723887.0
1993-01-01,3809372.0
1994-01-01,3916386.0
1995-01-01,4236253.0
1996-01-01,4229142.0
1997-01-01,4407665.0
1998-01-01,4106698.0
1999-01-01,4570640.0
2000-01-01,4929570.0
2001-01-01,5059360.0
2002-01-01,5274826.0
2003-01-01,5368977.0
2004-01-01,5631250.0
2005-01-01,6298225.0
2006-01-01,6794564.0
2007-01-01,7484073.0
2008-01-01,8687624.0
2009-01-01,9013186.0
2010-01-01,9101341.0
2011-01-01,9165046.44
2012-01-01,9226768.08
2013-01-01,8646416.59
2014-01-01,5707073.68
2015-01-01,5840123.6
2016-01-01,5829141.84
2017-01-01,6041369.4
2018-01-01,6144373.92
2019-01-01,6049600.71
2020-01-01,5955310.74
2021-01-01,5942214.98
2022-01-01,5899704.79
2023-01-01,5871408.36
2024-01-01,5641129.78
