Year,Value
1961-01-01,31000.0
1962-01-01,32600.0
1963-01-01,32800.0
1964-01-01,40436.0
1965-01-01,31702.0
1966-01-01,32087.0
1967-01-01,34584.0
1968-01-01,31068.0
1969-01-01,35961.0
1970-01-01,45422.0
1971-01-01,50971.0
1972-01-01,49522.0
1973-01-01,46420.0
1974-01-01,48910.0
1975-01-01,53000.0
1976-01-01,54212.0
1977-01-01,67979.0
1978-01-01,72851.0
1979-01-01,54475.0
1980-01-01,64601.0
1981-01-01,67587.0
1982-01-01,66788.0
1983-01-01,63042.0
1984-01-01,62148.0
1985-01-01,66127.0
1986-01-01,68992.0
1987-01-01,71280.0
1988-01-01,70279.0
1989-01-01,130800.0
1990-01-01,117202.0
1991-01-01,170941.0
1992-01-01,150784.0
1993-01-01,155095.0
1994-01-01,151340.0
1995-01-01,129989.0
1996-01-01,98072.0
1997-01-01,95859.0
1998-01-01,85842.0
1999-01-01,87472.0
2000-01-01,87576.0
2001-01-01,89542.0
2002-01-01,91368.0
2003-01-01,91982.0
2004-01-01,92782.0
2005-01-01,91439.0
2006-01-01,91243.0
2007-01-01,123443.0
2008-01-01,128865.0
2009-01-01,124712.0
2010-01-01,128963.97
2011-01-01,125310.0
2012-01-01,126380.5
2013-01-01,127463.0
2014-01-01,127986.0
2015-01-01,125752.0
2016-01-01,123080.04
2017-01-01,122474.11
2018-01-01,120655.67
2019-01-01,128050.06
2020-01-01,129803.39
2021-01-01,124491.09
2022-01-01,121249.18
2023-01-01,128227.01
2024-01-01,135151.9
