Year,Value
1961-01-01,3200.0
1962-01-01,3400.0
1963-01-01,3500.0
1964-01-01,4180.0
1965-01-01,4011.0
1966-01-01,4000.0
1967-01-01,3500.0
1968-01-01,4100.0
1969-01-01,4400.0
1970-01-01,4300.0
1971-01-01,3600.0
1972-01-01,3500.0
1973-01-01,3600.0
1974-01-01,4100.0
1975-01-01,3313.0
1976-01-01,3200.0
1977-01-01,2944.0
1978-01-01,3082.0
1979-01-01,3827.0
1980-01-01,4141.0
1981-01-01,4125.0
1982-01-01,5348.0
1983-01-01,5473.0
1984-01-01,4834.0
1985-01-01,6066.0
1986-01-01,6642.0
1987-01-01,8848.0
1988-01-01,9092.0
1989-01-01,9364.0
1990-01-01,9848.0
1991-01-01,9584.0
1992-01-01,7537.0
1993-01-01,7707.0
1994-01-01,7945.0
1995-01-01,7927.0
1996-01-01,7895.0
1997-01-01,7844.0
1998-01-01,7387.0
1999-01-01,7667.0
2000-01-01,6628.0
2001-01-01,6531.0
2002-01-01,5803.0
2003-01-01,5693.0
2004-01-01,5648.0
2005-01-01,5679.0
2006-01-01,5415.0
2007-01-01,5237.0
2008-01-01,5149.0
2009-01-01,5134.0
2010-01-01,5019.0
2011-01-01,4856.0
2012-01-01,4831.0
2013-01-01,4876.0
2014-01-01,5427.66
2015-01-01,6023.0
2016-01-01,6262.77
2017-01-01,7009.1
2018-01-01,7983.2
2019-01-01,8488.6
2020-01-01,9340.74
2021-01-01,10000.07
2022-01-01,10446.07
2023-01-01,10759.12
2024-01-01,10843.53
