Year,Value
1961-01-01,521334.0
1962-01-01,477000.0
1963-01-01,527597.0
1964-01-01,610616.0
1965-01-01,630810.0
1966-01-01,622655.0
1967-01-01,505935.0
1968-01-01,488859.0
1969-01-01,464775.0
1970-01-01,433122.0
1971-01-01,424749.0
1972-01-01,450373.0
1973-01-01,467305.0
1974-01-01,610890.0
1975-01-01,984956.0
1976-01-01,1510316.0
1977-01-01,1756331.0
1978-01-01,2131445.0
1979-01-01,2039154.0
1980-01-01,1900000.0
1981-01-01,1680409.0
1982-01-01,1530579.0
1983-01-01,1151942.0
1984-01-01,1491105.0
1985-01-01,1686716.0
1986-01-01,1724138.0
1987-01-01,1784264.0
1988-01-01,1865918.0
1989-01-01,1846861.0
1990-01-01,1853385.0
1991-01-01,1814880.0
1992-01-01,1783733.0
1993-01-01,1843055.0
1994-01-01,1890509.0
1995-01-01,1905903.02
1996-01-01,1910774.69
1997-01-01,1958004.0
1998-01-01,1733821.0
1999-01-01,1890315.0
2000-01-01,1765712.33
2001-01-01,1652035.89
2002-01-01,1625739.0
2003-01-01,1622242.0
2004-01-01,1640520.0
2005-01-01,1677563.82
2006-01-01,1756856.13
2007-01-01,1871138.0
2008-01-01,1941573.66
2009-01-01,2043719.0
2010-01-01,2101454.0
2011-01-01,2209684.0
2012-01-01,2223181.56
2013-01-01,2361561.0
2014-01-01,2540254.0
2015-01-01,2710919.0
2016-01-01,2755146.29
2017-01-01,2807670.8
2018-01-01,2723032.59
2019-01-01,2630800.28
2020-01-01,2607758.63
2021-01-01,2559811.9
2022-01-01,2560042.89
2023-01-01,2556238.37
2024-01-01,2372794.2
