Year,Value
1961-01-01,5023200.0
1962-01-01,6427845.0
1963-01-01,7346115.0
1964-01-01,6868145.0
1965-01-01,6679465.0
1966-01-01,7526465.0
1967-01-01,6323035.0
1968-01-01,6134355.0
1969-01-01,5282700.0
1970-01-01,5686160.0
1971-01-01,7361760.0
1972-01-01,9114340.0
1973-01-01,7846185.0
1974-01-01,5975000.0
1975-01-01,9218985.0
1976-01-01,11497000.0
1977-01-01,10281000.0
1978-01-01,10294000.0
1979-01-01,8449000.0
1980-01-01,9141000.0
1981-01-01,9837000.0
1982-01-01,9107000.0
1983-01-01,8503000.0
1984-01-01,6042000.0
1985-01-01,8600000.0
1986-01-01,11279000.0
1987-01-01,10520000.0
1988-01-01,7942000.0
1989-01-01,7866000.0
1990-01-01,11941960.0
1991-01-01,11292500.0
1992-01-01,11580400.0
1993-01-01,11669480.0
1994-01-01,11837160.0
1995-01-01,12790840.0
1996-01-01,11936720.0
1997-01-01,13707836.64
1998-01-01,12806428.95
1999-01-01,11589010.0
2000-01-01,12994653.92
2001-01-01,13146051.95
2002-01-01,14068495.16
2003-01-01,14294203.46
2004-01-01,14366184.0
2005-01-01,14824585.0
2006-01-01,14957909.91
2007-01-01,14852926.8
2008-01-01,15319526.75
2009-01-01,15667565.0
2010-01-01,15510283.0
2011-01-01,15244609.0
2012-01-01,15863800.92
2013-01-01,15354334.0
2014-01-01,14696298.0
2015-01-01,14735189.0
2016-01-01,13825080.08
2017-01-01,14049131.06
2018-01-01,14726165.43
2019-01-01,14765057.06
2020-01-01,14490922.69
2021-01-01,14717293.91
2022-01-01,14931158.3
2023-01-01,14892628.4
2024-01-01,14500416.25
