Year,Value
1961-01-01,32300.0
1962-01-01,43100.0
1963-01-01,32900.0
1964-01-01,39311.0
1965-01-01,44145.0
1966-01-01,42793.0
1967-01-01,44300.0
1968-01-01,43862.0
1969-01-01,44172.0
1970-01-01,49017.0
1971-01-01,49500.0
1972-01-01,51600.0
1973-01-01,50910.0
1974-01-01,53031.0
1975-01-01,91444.0
1976-01-01,80800.0
1977-01-01,105100.0
1978-01-01,118750.0
1979-01-01,115500.0
1980-01-01,125285.0
1981-01-01,146700.0
1982-01-01,171400.0
1983-01-01,146927.0
1984-01-01,116755.0
1985-01-01,135354.0
1986-01-01,145301.0
1987-01-01,140119.0
1988-01-01,141892.0
1989-01-01,155900.0
1990-01-01,125659.0
1991-01-01,125017.0
1992-01-01,126832.0
1993-01-01,124415.0
1994-01-01,123553.0
1995-01-01,127412.0
1996-01-01,117226.0
1997-01-01,120006.0
1998-01-01,107802.0
1999-01-01,104124.0
2000-01-01,107557.0
2001-01-01,112271.0
2002-01-01,107080.0
2003-01-01,106388.0
2004-01-01,102865.0
2005-01-01,105847.0
2006-01-01,104093.0
2007-01-01,97877.0
2008-01-01,97428.0
2009-01-01,96433.0
2010-01-01,94536.0
2011-01-01,88526.0
2012-01-01,88943.0
2013-01-01,78634.0
2014-01-01,75454.0
2015-01-01,72342.0
2016-01-01,68822.93
2017-01-01,62077.95
2018-01-01,60312.76
2019-01-01,60043.88
2020-01-01,60640.95
2021-01-01,60607.18
2022-01-01,59962.36
2023-01-01,60000.0
2024-01-01,64000.0
