Year,Value
1961-01-01,1266270.0
1962-01-01,1272900.0
1963-01-01,1292710.0
1964-01-01,1312680.0
1965-01-01,1379828.0
1966-01-01,1489952.0
1967-01-01,1619153.0
1968-01-01,1732800.0
1969-01-01,2008200.0
1970-01-01,2011810.0
1971-01-01,2024220.0
1972-01-01,1842820.0
1973-01-01,2257535.0
1974-01-01,2513865.0
1975-01-01,2717320.0
1976-01-01,2774770.0
1977-01-01,2796085.0
1978-01-01,3065255.0
1979-01-01,3122790.0
1980-01-01,3109685.0
1981-01-01,3290175.0
1982-01-01,3125885.0
1983-01-01,3346235.0
1984-01-01,3439000.0
1985-01-01,3922000.0
1986-01-01,4091000.0
1987-01-01,4278119.0
1988-01-01,4427963.0
1989-01-01,4522195.0
1990-01-01,5102000.0
1991-01-01,4655026.0
1992-01-01,4618854.0
1993-01-01,4797977.0
1994-01-01,4519246.0
1995-01-01,4128510.0
1996-01-01,4151332.0
1997-01-01,4332417.0
1998-01-01,3823184.0
1999-01-01,4584593.0
2000-01-01,4511104.0
2001-01-01,4525012.0
2002-01-01,4319262.0
2003-01-01,4615625.0
2004-01-01,5413386.0
2005-01-01,5253160.0
2006-01-01,6082109.0
2007-01-01,6736940.0
2008-01-01,6928225.0
2009-01-01,7034033.0
2010-01-01,6376796.0
2011-01-01,6971221.0
2012-01-01,7407068.35
2013-01-01,7377293.3
2014-01-01,7770602.74
2015-01-01,7518755.72
2016-01-01,7218817.0
2017-01-01,7914908.49
2018-01-01,7771918.63
2019-01-01,7978844.55
2020-01-01,8118545.88
2021-01-01,8287191.13
2022-01-01,8255609.7
2023-01-01,8405004.29
2024-01-01,8138177.93
