Year,Value
1961-01-01,46000.0
1962-01-01,55000.0
1963-01-01,47800.0
1964-01-01,44234.0
1965-01-01,46737.0
1966-01-01,51852.0
1967-01-01,53808.0
1968-01-01,62589.0
1969-01-01,58991.0
1970-01-01,68599.0
1971-01-01,63659.0
1972-01-01,64802.0
1973-01-01,79398.0
1974-01-01,88897.0
1975-01-01,83345.0
1976-01-01,82374.0
1977-01-01,86876.0
1978-01-01,92295.0
1979-01-01,103971.0
1980-01-01,110910.0
1981-01-01,120575.0
1982-01-01,125560.0
1983-01-01,112063.0
1984-01-01,110358.0
1985-01-01,102673.0
1986-01-01,104548.0
1987-01-01,107671.0
1988-01-01,109802.0
1989-01-01,111578.0
1990-01-01,112704.0
1991-01-01,104040.0
1992-01-01,110451.0
1993-01-01,111672.0
1994-01-01,123471.0
1995-01-01,130702.0
1996-01-01,157603.0
1997-01-01,195032.0
1998-01-01,163833.0
1999-01-01,159744.0
2000-01-01,166146.0
2001-01-01,169819.0
2002-01-01,179659.0
2003-01-01,176991.0
2004-01-01,182753.0
2005-01-01,187793.0
2006-01-01,191911.0
2007-01-01,210156.0
2008-01-01,199579.0
2009-01-01,200942.0
2010-01-01,208241.76
2011-01-01,207994.0
2012-01-01,211885.31
2013-01-01,219911.0
2014-01-01,225579.0
2015-01-01,232864.0
2016-01-01,235626.24
2017-01-01,241900.94
2018-01-01,244838.34
2019-01-01,249890.48
2020-01-01,242730.4
2021-01-01,244034.56
2022-01-01,248151.43
2023-01-01,238597.15
2024-01-01,228262.64
