Year,Value
1961-01-01,8440.0
1962-01-01,7800.0
1963-01-01,7100.0
1964-01-01,7068.0
1965-01-01,11043.0
1966-01-01,11354.0
1967-01-01,12700.0
1968-01-01,10431.0
1969-01-01,10113.0
1970-01-01,9762.0
1971-01-01,10170.0
1972-01-01,15727.0
1973-01-01,15074.0
1974-01-01,14169.0
1975-01-01,15973.0
1976-01-01,15182.0
1977-01-01,16025.0
1978-01-01,16846.0
1979-01-01,14042.0
1980-01-01,12760.0
1981-01-01,14748.0
1982-01-01,19824.0
1983-01-01,14623.0
1984-01-01,13271.0
1985-01-01,14957.0
1986-01-01,15488.0
1987-01-01,15422.0
1988-01-01,14145.0
1989-01-01,17200.0
1990-01-01,17849.0
1991-01-01,12425.0
1992-01-01,11766.0
1993-01-01,12310.0
1994-01-01,15728.0
1995-01-01,17227.0
1996-01-01,18591.0
1997-01-01,20180.0
1998-01-01,12757.0
1999-01-01,9335.0
2000-01-01,13688.0
2001-01-01,15364.0
2002-01-01,16257.0
2003-01-01,15529.0
2004-01-01,14999.0
2005-01-01,13234.0
2006-01-01,12581.0
2007-01-01,11285.0
2008-01-01,11348.0
2009-01-01,10451.0
2010-01-01,9563.0
2011-01-01,9056.0
2012-01-01,8808.43
2013-01-01,8986.35
2014-01-01,8992.86
2015-01-01,10419.52
2016-01-01,7468.97
2017-01-01,7751.05
2018-01-01,7559.12
2019-01-01,7256.32
2020-01-01,6766.62
2021-01-01,5890.14
2022-01-01,5884.93
2023-01-01,5765.06
2024-01-01,5419.26
