Year,Value
1961-01-01,10900.0
1962-01-01,11100.0
1963-01-01,14000.0
1964-01-01,13000.0
1965-01-01,13608.0
1966-01-01,13700.0
1967-01-01,14300.0
1968-01-01,14877.0
1969-01-01,14900.0
1970-01-01,17400.0
1971-01-01,18862.0
1972-01-01,18946.0
1973-01-01,18232.0
1974-01-01,21583.0
1975-01-01,36181.0
1976-01-01,40841.0
1977-01-01,46181.0
1978-01-01,37756.0
1979-01-01,49246.0
1980-01-01,49894.0
1981-01-01,42977.0
1982-01-01,43791.0
1983-01-01,33730.0
1984-01-01,39955.0
1985-01-01,41333.0
1986-01-01,42221.0
1987-01-01,43001.0
1988-01-01,39920.0
1989-01-01,37590.0
1990-01-01,34875.0
1991-01-01,31377.0
1992-01-01,34010.0
1993-01-01,34030.0
1994-01-01,36574.0
1995-01-01,36200.0
1996-01-01,33497.0
1997-01-01,25836.0
1998-01-01,24718.0
1999-01-01,25948.0
2000-01-01,26827.0
2001-01-01,26151.0
2002-01-01,26246.0
2003-01-01,26125.0
2004-01-01,27087.0
2005-01-01,28437.0
2006-01-01,29151.0
2007-01-01,31205.0
2008-01-01,30247.0
2009-01-01,30978.0
2010-01-01,29624.0
2011-01-01,29734.0
2012-01-01,29136.03
2013-01-01,29091.15
2014-01-01,29195.78
2015-01-01,29194.81
2016-01-01,27920.92
2017-01-01,29373.71
2018-01-01,29428.47
2019-01-01,29300.78
2020-01-01,29387.45
2021-01-01,30566.26
2022-01-01,31518.88
2023-01-01,31772.15
2024-01-01,30953.74
