Year,Value
1961-01-01,17884.0
1962-01-01,19990.0
1963-01-01,15200.0
1964-01-01,13199.0
1965-01-01,15186.0
1966-01-01,16380.0
1967-01-01,15639.0
1968-01-01,15073.0
1969-01-01,15365.0
1970-01-01,30699.0
1971-01-01,32800.0
1972-01-01,30727.0
1973-01-01,37904.0
1974-01-01,45742.0
1975-01-01,62853.0
1976-01-01,54278.0
1977-01-01,75350.0
1978-01-01,84748.0
1979-01-01,40803.0
1980-01-01,40581.0
1981-01-01,34452.0
1982-01-01,53776.0
1983-01-01,42498.0
1984-01-01,52524.0
1985-01-01,53134.0
1986-01-01,54178.0
1987-01-01,60892.0
1988-01-01,45929.0
1989-01-01,65300.0
1990-01-01,61470.0
1991-01-01,60345.0
1992-01-01,56708.0
1993-01-01,61464.0
1994-01-01,73635.0
1995-01-01,88427.0
1996-01-01,83322.0
1997-01-01,85383.0
1998-01-01,86978.0
1999-01-01,84967.0
2000-01-01,84216.0
2001-01-01,82606.0
2002-01-01,96358.0
2003-01-01,93842.0
2004-01-01,86741.0
2005-01-01,82019.0
2006-01-01,75978.0
2007-01-01,146108.0
2008-01-01,128923.0
2009-01-01,127055.0
2010-01-01,135377.0
2011-01-01,128387.23
2012-01-01,124889.62
2013-01-01,134239.01
2014-01-01,203651.0
2015-01-01,181207.84
2016-01-01,122593.99
2017-01-01,184426.97
2018-01-01,172665.98
2019-01-01,222082.28
2020-01-01,229539.24
2021-01-01,218047.33
2022-01-01,241033.06
2023-01-01,252487.47
2024-01-01,264322.89
