Year,Value
1961-01-01,3910100.0
1962-01-01,3966980.0
1963-01-01,3842860.0
1964-01-01,3992400.0
1965-01-01,4072636.0
1966-01-01,4094020.0
1967-01-01,4560700.0
1968-01-01,4444656.0
1969-01-01,5464075.0
1970-01-01,5578405.0
1971-01-01,5324875.0
1972-01-01,4609505.0
1973-01-01,5158898.0
1974-01-01,5615265.0
1975-01-01,6112039.0
1976-01-01,6542610.0
1977-01-01,7254390.0
1978-01-01,7211620.0
1979-01-01,7684795.0
1980-01-01,7646490.0
1981-01-01,7910735.0
1982-01-01,8533730.0
1983-01-01,7294910.0
1984-01-01,7828880.0
1985-01-01,8805600.0
1986-01-01,9246790.0
1987-01-01,8539852.0
1988-01-01,8970919.0
1989-01-01,9458772.0
1990-01-01,9885000.0
1991-01-01,9673262.0
1992-01-01,9128940.0
1993-01-01,9434208.0
1994-01-01,10538054.0
1995-01-01,10540649.0
1996-01-01,11283568.0
1997-01-01,11268963.0
1998-01-01,8554824.0
1999-01-01,11786625.0
2000-01-01,12389412.0
2001-01-01,12954870.0
2002-01-01,13270653.0
2003-01-01,13499884.0
2004-01-01,14496784.0
2005-01-01,14603005.0
2006-01-01,15326706.0
2007-01-01,16240194.0
2008-01-01,16815548.0
2009-01-01,16266417.0
2010-01-01,15772319.0
2011-01-01,16684062.0
2012-01-01,18032525.47
2013-01-01,18439419.73
2014-01-01,18967826.17
2015-01-01,18149837.78
2016-01-01,17627245.0
2017-01-01,19276346.63
2018-01-01,19066093.94
2019-01-01,18814827.29
2020-01-01,19294855.51
2021-01-01,19960170.2
2022-01-01,19756513.4
2023-01-01,20059561.96
2024-01-01,19087135.43
