Year,Value
1961-01-01,17460000.0
1962-01-01,19360000.0
1963-01-01,20610000.0
1964-01-01,21984000.0
1965-01-01,21150000.0
1966-01-01,19215008.0
1967-01-01,21280000.0
1968-01-01,21860000.0
1969-01-01,21980000.0
1970-01-01,26140000.0
1971-01-01,27640000.0
1972-01-01,24800000.0
1973-01-01,27965008.0
1974-01-01,34875008.0
1975-01-01,35868000.0
1976-01-01,38714000.0
1977-01-01,34820000.0
1978-01-01,30562000.0
1979-01-01,31888000.0
1980-01-01,30900000.0
1981-01-01,31600000.0
1982-01-01,35800000.0
1983-01-01,28700000.0
1984-01-01,34300000.0
1985-01-01,22842000.0
1986-01-01,20991000.0
1987-01-01,17211000.0
1988-01-01,19300000.0
1989-01-01,25263000.0
1990-01-01,25482000.0
1991-01-01,21824490.0
1992-01-01,21005573.0
1993-01-01,22915065.0
1994-01-01,24695188.0
1995-01-01,17774400.5
1996-01-01,23142220.0
1997-01-01,22273095.0
1998-01-01,17333372.0
1999-01-01,23777828.0
2000-01-01,21223438.2
2001-01-01,21708721.87
2002-01-01,21417288.45
2003-01-01,23978373.03
2004-01-01,25579213.93
2005-01-01,22917673.67
2006-01-01,24345106.04
2007-01-01,22235296.61
2008-01-01,26601383.81
2009-01-01,22932818.93
2010-01-01,17929269.47
2011-01-01,28376517.84
2012-01-01,26395914.59
2013-01-01,24584841.5
2014-01-01,25029880.01
2015-01-01,22926437.0
2016-01-01,22370546.22
2017-01-01,29286893.18
2018-01-01,24730819.95
2019-01-01,20719291.05
2020-01-01,24398941.25
2021-01-01,26277401.74
2022-01-01,23455403.5
2023-01-01,21650937.9
2024-01-01,18694653.05
