Year,Value
1961-01-01,738520.0
1962-01-01,695467.0
1963-01-01,748802.0
1964-01-01,783647.0
1965-01-01,725125.0
1966-01-01,701237.0
1967-01-01,686761.0
1968-01-01,672395.0
1969-01-01,706394.0
1970-01-01,731394.0
1971-01-01,656717.0
1972-01-01,651468.0
1973-01-01,647646.0
1974-01-01,806998.0
1975-01-01,986017.0
1976-01-01,829454.0
1977-01-01,893129.0
1978-01-01,1036976.0
1979-01-01,1122879.0
1980-01-01,1047750.0
1981-01-01,924573.0
1982-01-01,863173.0
1983-01-01,731355.0
1984-01-01,692860.0
1985-01-01,701661.0
1986-01-01,726153.0
1987-01-01,716864.0
1988-01-01,694962.0
1989-01-01,660280.0
1990-01-01,643797.0
1991-01-01,634556.0
1992-01-01,648141.0
1993-01-01,659136.0
1994-01-01,667807.0
1995-01-01,667946.0
1996-01-01,654231.0
1997-01-01,631405.0
1998-01-01,554680.0
1999-01-01,557386.0
2000-01-01,554003.0
2001-01-01,545408.0
2002-01-01,549392.0
2003-01-01,546971.0
2004-01-01,545147.0
2005-01-01,574629.0
2006-01-01,566773.0
2007-01-01,573734.0
2008-01-01,572655.0
2009-01-01,560516.0
2010-01-01,541265.03
2011-01-01,516338.0
2012-01-01,516907.18
2013-01-01,528250.0
2014-01-01,519855.0
2015-01-01,535995.53
2016-01-01,529472.03
2017-01-01,537303.36
2018-01-01,525634.39
2019-01-01,525861.92
2020-01-01,546891.46
2021-01-01,545519.4
2022-01-01,558320.65
2023-01-01,523292.89
2024-01-01,504411.18
