Year,forecast,lower_ci,upper_ci
2025,5576484.886852497,4660837.00851316,6492132.765191834
2026,5558337.466410474,4070513.6727705696,7046161.260050379
2027,5553243.036631649,3613326.649963283,7493159.423300016
2028,5551812.904186419,3235830.3347332575,7867795.473639581
2029,5551411.430635954,2909689.348746362,8193133.512525546
2030,5551298.727080238,2619119.383118929,8483478.071041547
2031,5551267.088404523,2354738.2727585016,8747795.904050544
2032,5551258.206645695,2110584.2167223436,8991932.196569046
2033,5551255.713316309,1882636.2925452702,9219875.134087348
2034,5551255.013377081,1668044.4028809061,9434465.623873256
2035,5551254.816886826,1464705.1815064936,9637804.452267159
2036,5551254.761727152,1271014.9099680092,9831494.613486296
2037,5551254.746242467,1085717.9349323427,10016791.557552591
2038,5551254.741895533,907809.3621687051,10194700.121622361
2039,5551254.740675242,736470.1120699272,10366039.369280556
2040,5551254.740332675,571022.1094653737,10531487.371199977
2041,5551254.740236509,410896.4746362502,10691613.005836766
2042,5551254.740209512,255610.3846218083,10846899.095797217
2043,5551254.740201934,104749.88081878796,10997759.59958508
2044,5551254.740199807,-42043.14439182915,11144552.624791443
