year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,5641129.78,116786962.0,23.182,2707355.353084,2933774.4269160004
2026,5641129.78,117724471.0,23.182,2729088.6867219997,2912041.0932780006
2027,5641129.78,118656413.0,23.182,2750692.966166,2890436.8138340004
2028,5641129.78,119583981.0,23.182,2772195.847542,2868933.9324580003
2029,5641129.78,120502129.0,23.182,2793480.3544779997,2847649.4255220005
2030,5641129.78,121408895.0,23.182,2814501.00389,2826628.7761100004
2031,5641129.78,122301597.0,23.182,2835195.6216539997,2805934.1583460006
2032,5641129.78,123180331.0,23.182,2855566.4332419997,2785563.3467580006
2033,5641129.78,124049029.0,23.182,2875704.590278,2765425.189722
2034,5641129.78,124904114.0,23.182,2895527.1707479996,2745602.6092520007
2035,5641129.78,125740971.0,23.182,2914927.1897219997,2726202.5902780006
2036,5641129.78,126558226.0,23.182,2933872.795132,2707256.9848680003
2037,5641129.78,127352596.0,23.182,2952287.8804719998,2688841.8995280005
2038,5641129.78,128118527.0,23.182,2970043.6929140002,2671086.087086
2039,5641129.78,128850041.0,23.182,2987001.6504619997,2654128.1295380006
2040,5641129.78,129546659.0,23.182,3003150.6489379997,2637979.1310620005
2041,5641129.78,130209801.0,23.182,3018523.6067819996,2622606.1732180007
2042,5641129.78,130836996.0,23.182,3033063.2412719997,2608066.5387280006
2043,5641129.78,131427393.0,23.182,3046749.824526,2594379.9554740004
2044,5641129.78,131979663.0,23.182,3059552.5476659997,2581577.2323340005
