ds,yhat,yhat_lower,yhat_upper
1961-01-01,821744.3338834485,-606079.3432250925,2137883.133126315
1962-01-01,931417.3706418178,-475068.44851119554,2361630.518351564
1963-01-01,1041090.4074001871,-372968.2220631677,2530589.803262256
1964-01-01,1150763.444170186,-235733.29307110305,2412834.7618751824
1965-01-01,1260736.9550135275,-278954.9534555148,2751175.0583208455
1966-01-01,1370409.9917853102,-30088.380725865478,2692279.7185799633
1967-01-01,1480083.028557093,57749.17685129093,2950204.0078091025
1968-01-01,1589756.0653153064,107277.86293151288,2933349.6782481107
1969-01-01,1699729.5761468299,265560.957904781,3147233.051144984
1970-01-01,1809402.6129060385,363448.6655308211,3184638.3436388513
1971-01-01,1919075.6496652472,416392.6503873409,3335301.600999252
1972-01-01,2028748.6864131761,697276.245228796,3478189.060860381
1973-01-01,2138722.197234387,717873.3682858996,3556554.270660292
1974-01-01,2248395.2339862213,817353.2815438305,3650252.239282638
1975-01-01,2358068.270738055,967661.1725678165,3779739.2356778234
1976-01-01,2467741.3074968252,1049008.7279981242,3951101.2769836686
1977-01-01,2577714.818328907,1210998.8200262696,3946707.3397099962
1978-01-01,2687387.85507839,1285169.9238964631,4067682.9196010837
1979-01-01,2797060.8918278725,1366776.4653363088,4219503.312765655
1980-01-01,2906733.9285596125,1455370.9383994897,4496215.220917652
1981-01-01,3016707.43936459,1509055.8612967187,4491981.9337083185
1982-01-01,3126380.4760977738,1605699.2287182345,4652383.398841705
1983-01-01,3236053.5128309582,1797047.2524818263,4599590.291199229
1984-01-01,3345726.5495451014,1918683.132165021,4810517.316002689
1985-01-01,3455700.060332434,2080032.8020364626,4940643.328186665
1986-01-01,3565373.097037307,2180655.5665454385,5090626.134513659
1987-01-01,3675046.13374218,2256913.0847690552,5165330.230343983
1988-01-01,3784719.170431675,2422973.5232924344,5187079.92452033
1989-01-01,3894692.681194292,2483500.55417368,5368570.730555566
1990-01-01,4004365.717892633,2586830.585652856,5361185.219475672
1991-01-01,4114038.7545909737,2652079.4706571647,5497921.146532917
1992-01-01,4223711.791279315,2751330.7546914574,5745904.157535663
1993-01-01,4333685.302040774,2902277.1199567877,5821773.394795914
1994-01-01,4443358.3387258565,2971215.323683776,5816373.003218667
1995-01-01,4553031.375410939,3039644.54400256,6022820.196091663
1996-01-01,4662704.412069467,3191448.849214491,6111820.1308141695
1997-01-01,4772677.922801032,3374628.1854419415,6182481.407640603
1998-01-01,4882350.959452238,3411781.4391796393,6344872.1183150085
1999-01-01,4992023.996103443,3591242.462182755,6554762.424916764
2000-01-01,5101679.904340517,3650771.1016427055,6594790.702162968
2001-01-01,5211636.239723445,3809716.6713522878,6630693.605947283
2002-01-01,5321292.147951947,3930152.6465396034,6743789.899379623
2003-01-01,5430948.056180448,3954302.8665419505,6854112.659289739
2004-01-01,5540563.935193033,4017334.521919822,6941539.035234714
2005-01-01,5650480.131682363,4172691.5056884214,7096872.23140021
2006-01-01,5760062.865151862,4343000.603413017,7143204.966108385
2007-01-01,5869645.598621358,4403051.402835224,7207104.660248483
2008-01-01,5979210.7467401,4511957.294232437,7477225.643575257
2009-01-01,6089076.073346838,4607926.628689045,7494411.651853744
2010-01-01,6198616.6776046045,4706937.892936772,7543775.332457115
2011-01-01,6308157.28186237,4898438.590738726,7776028.1901235925
2012-01-01,6417666.36326423,4994415.657546259,7831600.048919992
2013-01-01,6527475.469546644,5111267.023284811,7915484.0450004805
2014-01-01,6636984.550948504,5136972.4598207725,8087076.22399475
2015-01-01,6746493.632350365,5299482.74899576,8213787.460497465
2016-01-01,6856002.713752225,5407568.693774049,8317701.744542721
2017-01-01,6965811.820034638,5504957.304347729,8377013.753884826
2018-01-01,7075320.901436499,5673254.114818282,8437519.681638934
2019-01-01,7184829.98283836,5860246.033690258,8671220.41010409
2020-01-01,7294339.06424022,5853499.154729023,8747960.70949029
2021-01-01,7404148.170522634,5978449.486237652,8792593.709365668
2022-01-01,7513657.251924493,6136328.67781986,8965758.30803784
2023-01-01,7623166.333326354,6167066.246558745,9067964.248948047
2024-01-01,7732675.414728215,6456343.520068255,9176450.73696644
2025-01-01,7842484.521010628,6385800.953270138,9302667.3423233
2026-01-01,7951993.602412489,6534352.333343678,9493466.27462567
2027-01-01,8061502.683814349,6754850.3821287155,9457225.001892174
2028-01-01,8171011.765216209,6769643.744751887,9567353.434289452
2029-01-01,8280820.871498624,6680970.127366711,9947302.433633057
2030-01-01,8390329.952900484,7051072.825312127,9715313.298380297
2031-01-01,8499839.034302345,7000571.361308352,9876653.281723669
2032-01-01,8609348.115704205,7206429.167619734,10053992.4574486
2033-01-01,8719157.221986618,7247060.058223693,10257147.403282613
2034-01-01,8828666.303388478,7364864.593427403,10295226.208291015
2035-01-01,8938175.384790339,7512915.148121187,10386046.502381213
2036-01-01,9047684.466192199,7609544.407130404,10567090.422708064
2037-01-01,9157493.572474614,7596025.2246570615,10550295.75531789
2038-01-01,9267002.653876472,7809997.874450153,10587168.155338556
2039-01-01,9376511.735278334,7868953.936470183,10767265.891092291
2040-01-01,9486020.816680195,8093864.64543281,10918746.880120087
2041-01-01,9595829.922962608,8163367.193872323,11050254.309630215
2042-01-01,9705339.004364468,8308227.103760008,11140007.673440667
2043-01-01,9814848.085766328,8488718.993878337,11286366.20058139
2044-01-01,9924357.167168189,8502954.605992865,11325016.849528188
