Year,forecast,lower_ci,upper_ci
2025,137098.39357623688,111559.8243093374,162636.96284313634
2026,140582.94154043536,106631.14920809667,174534.73387277406
2027,140582.94154043536,94349.88287351708,186816.00020735365
2028,140582.94154043536,84705.6901332736,196460.19294759713
2029,140582.94154043536,76496.75944211081,204669.12363875992
2030,140582.94154043536,69226.02003270727,211939.86304816348
2031,140582.94154043536,62630.5088767877,218535.37420408303
2032,140582.94154043536,56551.08288372721,224614.80019714352
2033,140582.94154043536,50882.74766984537,230283.13541102537
2034,140582.94154043536,45551.91349410787,235613.96958676286
2035,140582.94154043536,40504.633188113905,240661.2498927568
2036,140582.94154043536,35699.96239804644,245465.92068282427
2037,140582.94154043536,31105.953890503908,250059.92919036682
2038,140582.94154043536,26697.111271592454,254468.7718092783
2039,140582.94154043536,22452.70050477104,258713.1825760997
2040,140582.94154043536,18355.590434945858,262810.29264592484
2041,140582.94154043536,14391.432834876818,266774.4502459939
2042,140582.94154043536,10548.067831474065,270617.81524939666
2043,140582.94154043536,6815.083324696694,274350.79975617403
2044,140582.94154043536,3183.4822884193272,277982.4007924514
