ds,yhat,yhat_lower,yhat_upper
1961-01-01,35416.334161549996,8302.521325563464,60409.294875800966
1962-01-01,37134.06925866514,10425.453994481493,64293.25720622663
1963-01-01,38851.80435578028,11999.384387494207,67136.81495352027
1964-01-01,40569.539453827434,14240.509032231112,64535.779853494685
1965-01-01,42291.98067543087,13053.83390659915,70594.81696018408
1966-01-01,44009.71577555208,17414.799779853045,69111.50456115877
1967-01-01,45727.45087567328,18717.887675589653,73644.4729259149
1968-01-01,47445.18597773695,19293.505096338926,72959.50285925873
1969-01-01,49167.62720336791,21933.326418408815,76655.1516994031
1970-01-01,50885.362304142676,23427.26273124476,77000.55061924449
1971-01-01,52603.097404917455,24067.735337838658,79496.67396732525
1972-01-01,54320.83250736029,29036.691933605824,81845.13796590903
1973-01-01,56043.273733371476,29061.910534271552,82967.34992573338
1974-01-01,57761.008836013716,30586.082210939883,84381.72473659068
1975-01-01,59478.74393865595,33075.45729337562,86475.7191784796
1976-01-01,61196.479041356826,34255.3025910941,89364.90433495387
1977-01-01,62918.920267626745,36965.518337096095,88915.55248047836
1978-01-01,64636.655371332774,38009.085629441724,90847.91845508627
1979-01-01,66354.39047503879,39193.848971306215,93366.01536234813
1980-01-01,68072.12557677997,40511.31039827677,98255.75326011732
1981-01-01,69794.56680208755,41164.85336828762,97809.45208704402
1982-01-01,71512.3018636789,42635.16010893477,100490.50015090485
1983-01-01,73230.03692527028,45903.871209954676,99123.0667134651
1984-01-01,74947.25885774504,47848.262848639955,102763.06225304981
1985-01-01,76669.185507843,50545.802653199215,104867.67701779793
1986-01-01,78385.36775279275,52090.12377105853,107349.32601226204
1987-01-01,80101.5499977425,53171.75839752852,108401.46175542996
1988-01-01,81817.44795729502,55958.43105016331,108447.72985028973
1989-01-01,83538.04700714766,56740.06079841643,111526.4143483993
1990-01-01,85253.22628419765,58334.78888874958,111018.69761511075
1991-01-01,86968.40556124765,59206.37091094197,113247.79058875819
1992-01-01,88682.9348798784,60722.995225323844,117588.77219070247
1993-01-01,90402.16153910817,63220.28035646787,118660.37204317439
1994-01-01,92116.08231778837,64160.66259923614,118189.0934542278
1995-01-01,93830.00309646859,65091.379446278086,121740.71758543492
1996-01-01,95543.28181022145,67604.71446138952,123061.42218403675
1997-01-01,97261.2544382586,70712.83706580113,124032.87087543013
1998-01-01,98974.20146729401,71048.66179861217,126746.9059026056
1999-01-01,100687.14849632942,74086.85537628164,130362.93966702522
2000-01-01,102400.09532869798,74847.90499235352,130753.68503630927
2001-01-01,104117.7351660867,77495.83121720506,131065.07918915142
2002-01-01,105830.68199579837,79413.48729958342,132843.35758745667
2003-01-01,107543.62882551005,79502.71457334046,134568.96766962353
2004-01-01,109256.57565251592,80331.04522469979,135860.54451744742
2005-01-01,110974.21548452729,82911.58782346247,138440.6353989367
2006-01-01,112687.16231132048,85777.70454162275,138952.48950273774
2007-01-01,114400.10913811368,86550.05932564894,139797.93329115535
2008-01-01,116113.05596596922,88250.48712636901,144559.77259456625
2009-01-01,117830.69579883259,89704.2475066294,144517.46844330418
2010-01-01,119543.6426251267,91217.24628688968,145087.67904020977
2011-01-01,121256.5894514208,94486.58321372991,149130.88353413396
2012-01-01,122969.53627573363,95942.56237677841,149819.58361001144
2013-01-01,124687.17610504456,97793.93195710653,151044.91574262496
2014-01-01,126400.12292935737,97915.48036276521,153936.79629341
2015-01-01,128113.06975367019,100634.89938016562,155976.40531086194
2016-01-01,129826.01657798301,102320.8213969548,157583.1091229497
2017-01-01,131543.65640729395,103802.6008736354,158341.82884388082
2018-01-01,133256.60323160677,106631.90366582874,159124.2249582706
2019-01-01,134969.5500559196,109816.21925005752,163195.52255673936
2020-01-01,136682.49688023241,109321.51088494514,164286.20303494768
2021-01-01,138400.13670954335,111326.67665564016,164766.17411087485
2022-01-01,140113.08353385614,113958.15294217753,167687.91429596196
2023-01-01,141826.030358169,114175.25956899721,169262.17734049147
2024-01-01,143538.9771824818,119301.9340074515,170955.70551665378
2025-01-01,145256.61701179272,117594.76025541131,172984.94976601412
2026-01-01,146969.56383610558,120049.21980920686,176241.528127257
2027-01-01,148682.51066041837,123869.70117730531,175186.80417844374
2028-01-01,150395.4574847312,123783.9080727233,176911.47988984382
2029-01-01,152113.09731404213,121732.42963017769,183758.72970952909
2030-01-01,153826.04413835495,128394.09927608889,178987.86591975603
2031-01-01,155538.99096266774,127068.68267034816,181684.20289636322
2032-01-01,157251.9377869806,130610.33770853862,184685.12766573386
2033-01-01,158969.57761629153,131015.17819254547,188175.27358547016
2034-01-01,160682.52444060432,132884.89112186863,188532.58698655624
2035-01-01,162395.47126491717,135330.34430696527,189887.9300447665
2036-01-01,164108.41808922996,136799.11952933628,192960.38483010643
2037-01-01,165826.0579185409,136175.10257197375,192275.1053819668
2038-01-01,167539.00474285372,139869.0435756622,192609.07598889823
2039-01-01,169251.95156716654,140623.86305972526,195661.25719667
2040-01-01,170964.8983914794,144526.86232890142,198167.56941094252
2041-01-01,172682.5382207903,145479.07409474667,200298.37069059684
2042-01-01,174395.48504510312,147858.8912049524,201640.73900073365
2043-01-01,176108.43186941594,150923.24224427118,204050.30813496208
2044-01-01,177821.3786937288,150829.92074814893,204422.48821981953
