Year,forecast,lower_ci,upper_ci
2025,10994.327186337368,9875.314447945133,12113.339924729604
2026,11112.839984987673,9368.920292139495,12856.759677835851
2027,11205.980207196497,8899.620202709024,13512.34021168397
2028,11279.179904544853,8446.684140928488,14111.675668161219
2029,11336.70817283562,8007.008460784829,14666.407884886412
2030,11381.920130977807,7580.657806873584,15183.182455082031
2031,11417.452595621435,7168.111735808493,15666.793455434377
2032,11445.377863526886,6769.646321670412,16121.10940538336
2033,11467.324570444418,6385.240984588439,16549.408156300397
2034,11484.572675141382,6014.621594736032,16954.523755546732
2035,11498.128108161714,5657.3299363693795,17338.92627995405
2036,11508.781438924547,5312.78769254854,17704.775185300554
2037,11517.153982698845,4980.347312041885,18053.960653355804
2038,11523.734036469174,4659.32976020087,18388.13831273748
2039,11528.90535701256,4349.051303985382,18708.759410039736
2040,11532.969542062692,4048.8417748284874,19017.097309296896
2041,11536.163619858324,3758.056461932574,19314.270777784073
2042,11538.673872919811,3476.083365393032,19601.26438044659
2043,11540.64670227335,3202.347138180716,19878.946266365987
2044,11542.19716573773,2936.310712812661,20148.0836186628
