year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,10843.53,116786962.0,0.818,95531.73491599999,-84688.20491599999
2026,10843.53,117724471.0,0.818,96298.61727799999,-85455.08727799999
2027,10843.53,118656413.0,0.818,97060.945834,-86217.415834
2028,10843.53,119583981.0,0.818,97819.69645799999,-86976.16645799999
2029,10843.53,120502129.0,0.818,98570.741522,-87727.211522
2030,10843.53,121408895.0,0.818,99312.47611,-88468.94611
2031,10843.53,122301597.0,0.818,100042.706346,-89199.17634600001
2032,10843.53,123180331.0,0.818,100761.51075799999,-89917.98075799999
2033,10843.53,124049029.0,0.818,101472.105722,-90628.575722
2034,10843.53,124904114.0,0.818,102171.56525199999,-91328.03525199999
2035,10843.53,125740971.0,0.818,102856.114278,-92012.584278
2036,10843.53,126558226.0,0.818,103524.628868,-92681.098868
2037,10843.53,127352596.0,0.818,104174.423528,-93330.893528
2038,10843.53,128118527.0,0.818,104800.955086,-93957.425086
2039,10843.53,128850041.0,0.818,105399.33353799999,-94555.803538
2040,10843.53,129546659.0,0.818,105969.167062,-95125.637062
2041,10843.53,130209801.0,0.818,106511.617218,-95668.087218
2042,10843.53,130836996.0,0.818,107024.662728,-96181.132728
2043,10843.53,131427393.0,0.818,107507.60747399999,-96664.07747399999
2044,10843.53,131979663.0,0.818,107959.364334,-97115.834334
