ds,yhat,yhat_lower,yhat_upper
1961-01-01,3595.2168299730006,1453.3136417369976,5569.579586001944
1962-01-01,3671.5229308843727,1561.6290353347222,5817.010605623136
1963-01-01,3747.8290317957453,1626.57503148829,5982.253040881596
1964-01-01,3824.135131708146,1744.227206389313,5717.390316163285
1965-01-01,3900.650289428525,1590.9316172116064,6136.482469916793
1966-01-01,3976.9563883338133,1876.0443658663603,5959.91620868626
1967-01-01,4053.262487239101,1919.5946817898562,6258.616595758442
1968-01-01,4129.568585666575,1905.6771913128152,6145.116786311474
1969-01-01,4206.083741897959,2054.6623968608646,6377.508938011688
1970-01-01,4282.389840610775,2113.289117895994,6345.404933761356
1971-01-01,4358.69593932359,2104.494976933531,6483.201176950544
1972-01-01,4435.002038675077,2437.637019069507,6609.332811416877
1973-01-01,4511.517195833005,2380.0770989093235,6638.431805208368
1974-01-01,4587.823294468174,2441.092315302024,6690.773425660819
1975-01-01,4664.1293931033415,2578.3554671885304,6796.802790559239
1976-01-01,4740.435491083965,2612.170016850936,6965.64963964021
1977-01-01,4816.950646867274,2766.716152853462,6870.600192836034
1978-01-01,4893.256744040626,2789.765181635371,6963.86143200507
1979-01-01,4969.562841213976,2823.9682399320573,7103.393513260723
1980-01-01,5045.868938127109,2868.6540160388063,7430.277533057813
1981-01-01,5122.384092840003,2860.7296787935184,7335.469079185889
1982-01-01,5198.690188615459,2917.4897404978487,7487.873774716066
1983-01-01,5274.996284390915,3116.3179080979103,7320.461575160168
1984-01-01,5351.302379194352,3210.5696721787103,7548.660542583082
1985-01-01,5427.81753179177,3364.155096621192,7655.406813829417
1986-01-01,5504.123622085363,3426.8847158269455,7792.182292223873
1987-01-01,5580.429712378956,3453.0636043385202,7816.030864723593
1988-01-01,5656.735802480176,3613.9574188910706,7760.441616017541
1989-01-01,5733.250950362497,3616.2970403390404,7944.2411052470015
1990-01-01,5809.5505868390055,3683.081424113311,7844.939173605363
1991-01-01,5885.850223315511,3692.7396162198656,7961.836323676827
1992-01-01,5962.149858933832,3753.4053990070593,8245.61716282077
1993-01-01,6038.658534649737,3891.378168014015,8270.965423342666
1994-01-01,6114.938279338047,3906.5508796813506,8174.621512303777
1995-01-01,6191.218024026359,3920.9600564653033,8396.073855682638
1996-01-01,6267.497767834434,4060.4416506739176,8441.341518897425
1997-01-01,6343.986497241982,4246.747715051437,8458.857280922475
1998-01-01,6420.266241216599,4214.239268493185,8614.219726687932
1999-01-01,6496.545985191217,4395.209187357208,8840.837144329716
2000-01-01,6572.825729009226,4396.292141450655,8812.667265130773
2001-01-01,6649.314458426735,4546.270475275057,8778.067150887913
2002-01-01,6725.59420205482,4638.721585269079,8859.507876333992
2003-01-01,6801.8739456829035,4586.732755431005,8936.787975794403
2004-01-01,6878.153689380826,4593.130693185807,8979.780859127231
2005-01-01,6954.6424186779195,4737.7859396165295,9124.40042135987
2006-01-01,7030.9221635036665,4905.162362059624,9105.797740452801
2007-01-01,7107.201908329414,4907.138389167068,9113.54756162152
2008-01-01,7183.48165252435,4982.429170861698,9430.679913064425
2009-01-01,7259.970382319817,5038.072280594091,9368.138781824937
2010-01-01,7336.250127427331,5098.556779202264,9354.146074738212
2011-01-01,7412.529872534842,5297.786289385758,9614.508610337061
2012-01-01,7488.809617070905,5353.76642293516,9609.876186994536
2013-01-01,7565.298347208439,5440.819369245402,9647.474207384683
2014-01-01,7641.578091744504,5391.383805230508,9816.885888868337
2015-01-01,7717.857836280568,5547.171585478318,9918.97088614378
2016-01-01,7794.137580816632,5621.316457956862,9986.85777763519
2017-01-01,7870.626310954166,5679.172985964313,9987.594932373624
2018-01-01,7946.90605549023,5843.64122767979,9990.364191886569
2019-01-01,8023.1858000262955,6036.154327406389,10252.945991124403
2020-01-01,8099.465544562359,5938.036479196676,10280.068714524574
2021-01-01,8175.954274699893,6037.238825241956,10258.785631273537
2022-01-01,8252.234019235957,6186.079415260302,10430.556126926855
2023-01-01,8328.513763772022,6144.192640484492,10495.880303101085
2024-01-01,8404.793508308087,6490.145783768604,10570.626037476488
2025-01-01,8481.28223844562,6296.086597718148,10671.72369029668
2026-01-01,8557.561982981684,6430.919328212961,10869.951811191788
2027-01-01,8633.841727517749,6673.708998562991,10727.579545365836
2028-01-01,8710.121472053814,6607.920497330058,10804.792630296512
2029-01-01,8786.610202191347,6386.663017367757,11286.554504133055
2030-01-01,8862.889946727411,6853.843854880864,10850.401688735192
2031-01-01,8939.169691263476,6690.066149226353,11004.5464242907
2032-01-01,9015.449435799539,6911.000448577246,11182.590945380198
2033-01-01,9091.938165937074,6883.599933560779,11399.121836046064
2034-01-01,9168.217910473137,6972.423656066985,11368.142938777159
2035-01-01,9244.497655009201,7106.438991312906,11416.742772824646
2036-01-01,9320.777399545266,7163.343575580242,11600.19033956968
2037-01-01,9397.266129682801,7054.786165431538,11486.59636884105
2038-01-01,9473.545874218864,7288.131236244942,11453.864580337886
2039-01-01,9549.825618754929,7288.332326749017,11636.195107076355
2040-01-01,9626.105363290993,7537.83838662698,11775.918155452218
2041-01-01,9702.594093428528,7553.936001595584,11884.697673046474
2042-01-01,9778.873837964591,7683.826750391743,11930.854224823817
2043-01-01,9855.153582500656,7865.646847606864,12062.8234245265
2044-01-01,9931.43332703672,7799.107442718529,12032.176888460446
