Year,forecast,lower_ci,upper_ci
2025,2307023.312055637,2045368.1338083753,2568678.490302899
2026,2283442.2426709305,1842057.5360462687,2724826.949295592
2027,2274987.6383512085,1686582.220752243,2863393.055950174
2028,2271956.379122167,1559810.7748233592,2984101.9834209746
2029,2270869.5710154627,1451376.1738241673,3090362.968206758
2030,2270479.9138559955,1355467.87259119,3185491.955120801
2031,2270340.2086946266,1268652.9313755094,3272027.486013744
2032,2270290.11970835,1188777.1762312155,3351803.063185484
2033,2270272.161126708,1114408.256525822,3426136.0657275943
2034,2270265.7223728313,1044544.1469052578,3495987.297840405
2035,2270263.4138636007,978453.4869580152,3562073.340769186
2036,2270262.5861856104,915583.6278566953,3624941.5445145257
2037,2270262.2894352893,855504.982995318,3685019.5958752604
2038,2270262.1830403456,797875.774037811,3742648.59204288
2039,2270262.1448941897,742418.775137786,3798105.5146505935
2040,2270262.1312175132,688905.4250979195,3851618.837337107
2041,2270262.1263139662,637144.6420573504,3903379.610570582
2042,2270262.12455588,586974.7431246031,3953549.505987157
2043,2270262.1239255476,538257.4756544707,4002266.7721966244
2044,2270262.123699552,490873.5220970425,4049650.725302061
