year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,2307023.3121,116786962.0,10.456000000000001,1221124.4746720002,1085898.837428
2026,2283442.2427,117724471.0,10.456000000000001,1230927.0687760003,1052515.1739239995
2027,2274987.6384,118656413.0,10.456000000000001,1240671.454328,1034316.184072
2028,2271956.3791,119583981.0,10.456000000000001,1250370.1053360002,1021586.2737639998
2029,2270869.571,120502129.0,10.456000000000001,1259970.2608240002,1010899.3101759998
2030,2270479.9139,121408895.0,10.456000000000001,1269451.4061200002,1001028.5077799999
2031,2270340.2087,122301597.0,10.456000000000001,1278785.498232,991554.7104679998
2032,2270290.1197,123180331.0,10.456000000000001,1287973.5409360002,982316.578764
2033,2270272.1611,124049029.0,10.456000000000001,1297056.6472240002,973215.513876
2034,2270265.7224,124904114.0,10.456000000000001,1305997.4159840003,964268.3064159995
2035,2270263.4139,125740971.0,10.456000000000001,1314747.5927760003,955515.8211239998
2036,2270262.5862,126558226.0,10.456000000000001,1323292.8110560002,946969.7751439996
2037,2270262.2894,127352596.0,10.456000000000001,1331598.7437760003,938663.5456239998
2038,2270262.183,128118527.0,10.456000000000001,1339607.3183120003,930654.864688
2039,2270262.1449,128850041.0,10.456000000000001,1347256.028696,923006.1162040001
2040,2270262.1312,129546659.0,10.456000000000001,1354539.8665040003,915722.2646959999
2041,2270262.1263,130209801.0,10.456000000000001,1361473.6792560003,908788.4470439998
2042,2270262.1246,130836996.0,10.456000000000001,1368031.630176,902230.4944240001
2043,2270262.1239,131427393.0,10.456000000000001,1374204.8212080002,896057.3026919998
2044,2270262.1237,131979663.0,10.456000000000001,1379979.356328,890282.7673719998
