ds,yhat,yhat_lower,yhat_upper
1961-01-01,590721.1894945679,175453.8773018049,973506.1442454252
1962-01-01,624644.4051374188,215582.98171313934,1040606.6694100741
1963-01-01,658567.6207802696,247303.72611690173,1091772.6590136883
1964-01-01,692490.8364254193,289243.02461983263,1059550.8399128749
1965-01-01,726506.992387405,278703.9963412203,1159985.0436853734
1966-01-01,760430.2080991879,353110.16977288417,1144881.9421022434
1967-01-01,794353.4238109711,380682.7688777512,1221922.455925968
1968-01-01,828276.6394657893,397113.64058978873,1219046.5344235927
1969-01-01,862292.7954374702,445180.1246806379,1283283.7672845304
1970-01-01,896216.0110311896,475675.702792992,1296188.6790075116
1971-01-01,930139.226624909,493099.87772464624,1342033.4637754557
1972-01-01,964062.4422678483,576817.8610398105,1385616.7406944367
1973-01-01,998078.5982276178,584839.8463499798,1410439.9588856746
1974-01-01,1032001.8138425954,615798.5005390438,1439716.996046977
1975-01-01,1065925.0294575733,661539.9308155918,1479402.890833695
1976-01-01,1099848.2449963028,687224.981736084,1531267.696444658
1977-01-01,1133864.4008515766,736369.6063295213,1532021.2978692623
1978-01-01,1167787.1897961143,759967.0361412802,1569231.311130504
1979-01-01,1201709.9787406516,785726.9837933226,1615412.209878885
1980-01-01,1235630.2611210207,813516.7903874568,1697913.9692850965
1981-01-01,1269643.4757818836,831159.0686488668,1698711.3528836905
1982-01-01,1303562.4112017266,861288.4634968836,1747384.1115180186
1983-01-01,1337481.3466215704,918961.6991719105,1734051.498879892
1984-01-01,1371397.358510551,956356.976551153,1797416.1549934864
1985-01-01,1405406.2909800494,1005308.1178071386,1837286.2278986806
1986-01-01,1439313.8315212473,1036583.4830527046,1882917.4356926768
1987-01-01,1473221.3720624454,1060772.475871442,1906654.6321500668
1988-01-01,1507125.7732977218,1111076.5524843596,1914987.4654741164
1989-01-01,1541123.0633035067,1130692.860351431,1969784.7992523226
1990-01-01,1575025.8397653091,1162750.841289236,1969642.3436001039
1991-01-01,1608928.616227111,1183733.3262849497,2011416.0735414478
1992-01-01,1642819.5476417071,1214593.2019169794,2085532.9881805999
1993-01-01,1676803.3309231922,1260493.5036282078,2109597.906676334
1994-01-01,1710694.1679674627,1282537.048274733,2110020.862479081
1995-01-01,1744585.0050117332,1304432.5605169323,2172057.432343289
1996-01-01,1778475.8418200864,1350576.8281458707,2199935.717592724
1997-01-01,1812459.5302361338,1405851.6513693272,2222485.861396921
1998-01-01,1846350.3670112134,1418650.8815167032,2271709.072293293
1999-01-01,1880241.203786293,1472838.8109792995,2334747.034861902
2000-01-01,1914132.0404914382,1492150.6653448362,2348387.416528732
2001-01-01,1948115.7288039953,1540382.3507955333,2360833.452824703
2002-01-01,1982006.5654369486,1577408.4551110552,2395724.8888589763
2003-01-01,2015897.4020699018,1586430.872837569,2429809.6722025042
2004-01-01,2049788.238730992,1606773.1841103223,2457246.928183072
2005-01-01,2083771.926999373,1653972.8414790325,2504439.667180724
2006-01-01,2117662.7636479014,1705525.2945216247,2519934.915212176
2007-01-01,2151553.6002964308,1725010.2955972487,2540539.326331236
2008-01-01,2185444.4369571586,1758709.3944606679,2621126.1179706086
2009-01-01,2219428.125225176,1788651.5813844,2628155.0134059642
2010-01-01,2253318.961824668,1819480.0715644886,2644544.0325593445
2011-01-01,2287209.798424159,1877208.128612717,2714124.421351546
2012-01-01,2321100.6350116082,1907163.3228521422,2732328.191099012
2013-01-01,2355084.323206146,1943195.1772194358,2758771.837056922
2014-01-01,2388975.1597935944,1952712.6160874316,2810718.8814823087
2015-01-01,2422865.996381043,2002018.289568108,2849612.781702321
2016-01-01,2456756.8329684916,2035495.2220229744,2881876.431055247
2017-01-01,2490740.521163029,2065866.5413012658,2901173.576327058
2018-01-01,2524631.357750478,2116855.162882524,2920812.3674900467
2019-01-01,2558522.1943379263,2173281.057665983,2990823.0221611997
2020-01-01,2592413.0309253754,2173360.086142688,3015183.4074403816
2021-01-01,2626396.719119913,2211747.4384617265,3030211.319119398
2022-01-01,2660287.555707361,2259706.2065221546,3082615.685064066
2023-01-01,2694178.39229481,2270687.18745631,3114382.481007592
2024-01-01,2728069.2288822588,2356861.688442343,3147975.9071986256
2025-01-01,2762052.9170767963,2338392.0668516136,3186731.2453963975
2026-01-01,2795943.7536642454,2383636.891591434,3244264.652031747
2027-01-01,2829834.5902516935,2449808.6242231457,3235764.8975863745
2028-01-01,2863725.4268391426,2456153.5494059552,3269836.161398131
2029-01-01,2897709.11503368,2432410.733475695,3382389.36187545
2030-01-01,2931599.9516211287,2542091.05921451,3316948.9638415
2031-01-01,2965490.7882085773,2529442.940636196,3365922.110454486
2032-01-01,2999381.624796026,2591364.1517849523,3419541.4209802635
2033-01-01,3033365.3129905635,2605220.161612046,3480674.619553785
2034-01-01,3067256.149578012,2641530.5996377943,3493783.4142733477
2035-01-01,3101146.9861654607,2686625.1580141117,3522263.5897355136
2036-01-01,3135037.8227529097,2716766.277936212,3576949.617673777
2037-01-01,3169021.5109474473,2714878.5129243257,3574100.644022215
2038-01-01,3202912.3475348954,2779176.395838949,3586862.531332139
2039-01-01,3236803.1841223445,2798347.4763751617,3641294.4432891826
2040-01-01,3270694.020709793,2865814.251740564,3687425.8510001795
2041-01-01,3304677.7089043306,2888075.4106152654,3727710.0418126774
2042-01-01,3338568.545491779,2932288.124062654,3755813.332734089
2043-01-01,3372459.382079228,2986760.06452734,3800450.0794607163
2044-01-01,3406350.218666677,2992946.577873863,3813688.566860782
