Year,forecast,lower_ci,upper_ci
2025,14605965.321210835,12547570.674151536,16664359.968270134
2026,14915837.311449846,12164506.395647349,17667168.22725234
2027,15282505.751514284,12163168.445799073,18401843.057229497
2028,15497540.133122718,12047094.743611164,18947985.52263427
2029,15573950.605068153,11682771.24442036,19465129.965715945
2030,15707302.19304879,11340925.91239766,20073678.47369992
2031,15998546.209920797,11278154.799352555,20718937.62048904
2032,16329394.261628965,11369912.756169016,21288875.767088912
2033,16540595.997408522,11349454.003483761,21731737.991333283
2034,16647118.949970402,11157292.738905326,22136945.161035478
2035,16801280.47651891,10985142.684347356,22617418.268690467
2036,17077345.121628273,10997742.877985245,23156947.3652713
2037,17380669.42124219,11103565.515438939,23657773.32704544
2038,17589707.587330334,11117301.317440808,24062113.85721986
2039,17719818.684223156,11008468.82159078,24431168.54685553
2040,17889524.612291,10921422.11557394,24857627.10900806
2041,18153262.675251953,10967888.590102654,25338636.760401253
2042,18435458.213907197,11075259.907378554,25795656.52043584
2043,18643443.706271883,11108834.944171198,26178052.46837257
2044,18792012.83760918,11053422.302038264,26530603.373180095
