year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,11251852.4944,116786962.0,7.096000000000001,828720.2823520001,10423132.212048
2026,11251852.4944,117724471.0,7.096000000000001,835372.846216,10416479.648184
2027,11251852.4944,118656413.0,7.096000000000001,841985.9066480001,10409866.587752
2028,11251852.4944,119583981.0,7.096000000000001,848567.9291760001,10403284.565224
2029,11251852.4944,120502129.0,7.096000000000001,855083.1073840001,10396769.387016
2030,11251852.4944,121408895.0,7.096000000000001,861517.5189200001,10390334.97548
2031,11251852.4944,122301597.0,7.096000000000001,867852.1323120001,10384000.362088
2032,11251852.4944,123180331.0,7.096000000000001,874087.6287760001,10377764.865624
2033,11251852.4944,124049029.0,7.096000000000001,880251.9097840001,10371600.584616
2034,11251852.4944,124904114.0,7.096000000000001,886319.5929440001,10365532.901456
2035,11251852.4944,125740971.0,7.096000000000001,892257.9302160001,10359594.564184
2036,11251852.4944,126558226.0,7.096000000000001,898057.1716960002,10353795.322704
2037,11251852.4944,127352596.0,7.096000000000001,903694.0212160001,10348158.473184
2038,11251852.4944,128118527.0,7.096000000000001,909129.0675920001,10342723.426808
2039,11251852.4944,128850041.0,7.096000000000001,914319.8909360002,10337532.603464
2040,11251852.4944,129546659.0,7.096000000000001,919263.0922640002,10332589.402136
2041,11251852.4944,130209801.0,7.096000000000001,923968.7478960002,10327883.746504
2042,11251852.4944,130836996.0,7.096000000000001,928419.3236160001,10323433.170784
2043,11251852.4944,131427393.0,7.096000000000001,932608.7807280002,10319243.713672
2044,11251852.4944,131979663.0,7.096000000000001,936527.6886480001,10315324.805752
