ds,yhat,yhat_lower,yhat_upper
1961-01-01,6011186.95629878,4344718.752567314,7547303.422077779
1962-01-01,6177555.676285399,4535991.711353667,7846812.723516591
1963-01-01,6343924.3962720195,4693521.91171255,8082376.715334293
1964-01-01,6510293.116300411,4892059.181512969,7983305.3344869055
1965-01-01,6677117.641041207,4880083.700406235,8416665.561847024
1966-01-01,6843486.36107453,5208910.576553398,8386291.613918807
1967-01-01,7009855.081107853,5349794.264804104,8725690.101103675
1968-01-01,7176223.801125299,5445966.188364218,8744383.841182536
1969-01-01,7343048.325855124,5669174.696073468,9032485.582393808
1970-01-01,7509417.04585183,5821788.302896321,9114507.824667528
1971-01-01,7675785.765848537,5921946.353649112,9328717.815537509
1972-01-01,7842154.485803953,6288141.533818279,9533852.37255729
1973-01-01,8008979.010471577,6350651.421629005,9663785.627336014
1974-01-01,8175347.730422125,6505123.353151378,9811509.22778263
1975-01-01,8341716.450372673,6718918.582196477,10001003.585908985
1976-01-01,8508085.170347452,6852227.538037871,10239371.927577762
1977-01-01,8674909.695034493,7079762.6252543125,10272713.782894794
1978-01-01,8841278.415036222,7204695.667123742,10452274.137878323
1979-01-01,9007647.135037953,7338306.895585338,10667834.666688913
1980-01-01,9174015.855049154,7480074.00918172,11029160.910147797
1981-01-01,9340840.379772715,7581201.947215274,11062690.26643274
1982-01-01,9507209.099801054,7732363.236549508,11288266.096071
1983-01-01,9673577.819829395,7994057.990953455,11265014.299136654
1984-01-01,9839946.539878223,8174389.007435502,11549560.462491056
1985-01-01,10006771.06463951,8401176.633324863,11739905.750594195
1986-01-01,10173139.784652669,8556982.430834789,11953321.56084124
1987-01-01,10339508.504665826,8684350.607606512,12078876.678292759
1988-01-01,10505877.224701352,8916531.243884727,12142626.666748859
1989-01-01,10672701.749449305,9025644.870690702,12392921.791193021
1990-01-01,10839070.469481524,9184610.424153188,12422666.955407443
1991-01-01,11005439.189513745,9299129.999600716,12620621.8208491
1992-01-01,11171806.700882014,9453333.880610721,12948416.2493845
1993-01-01,11338630.013651295,9667978.195609836,13075435.146305868
1994-01-01,11504916.164844174,9786721.14871929,13107414.651399497
1995-01-01,11671202.316037055,9904870.047619114,13386649.660925284
1996-01-01,11837387.105675822,10120227.869301515,13528706.074209735
1997-01-01,12004027.196108121,10372309.308320958,13649463.336901551
1998-01-01,12170052.926659463,10453694.397100896,13877017.902520433
1999-01-01,12336078.657210806,10701172.384063493,14160011.082564961
2000-01-01,12502033.50034433,10808621.754220031,14244700.826227374
2001-01-01,12668443.014280964,11032208.497137658,14324679.71773155
2002-01-01,12834386.900947737,11210734.216637837,14494639.01095216
2003-01-01,13000330.78761451,11276881.109493986,14661361.205992602
2004-01-01,13166230.171723202,11388410.245561987,14801362.363372305
2005-01-01,13332584.074692462,11607799.847803846,15020724.202183114
2006-01-01,13498434.333346607,11844526.19345794,15112752.942458145
2007-01-01,13664284.592000755,11952565.817309976,15225284.760108132
2008-01-01,13830128.053244848,12117639.834551888,15578519.14264551
2009-01-01,13996425.88013618,12267719.111878062,15636647.354749177
2010-01-01,14162082.58052147,12421086.612543296,15732069.24149732
2011-01-01,14327739.280906754,12682402.106136745,16040948.15607643
2012-01-01,14493393.31848686,12832262.406426026,16143649.976298992
2013-01-01,14659501.202745268,13006589.583902657,16279499.662348196
2014-01-01,14825155.240325376,13074433.148267588,16517613.28284853
2015-01-01,14990809.277905483,13301946.944114307,16703344.620567884
2016-01-01,15156463.315485587,13465939.983932033,16862468.753895395
2017-01-01,15322571.199744,13617551.42755493,16969639.524432465
2018-01-01,15488225.237324102,13851818.896074172,17078100.08725389
2019-01-01,15653879.27490421,14107906.148237418,17388702.996545624
2020-01-01,15819533.312484317,14137873.360794634,17516111.32201183
2021-01-01,15985641.196742725,14321653.154273741,17606149.653207287
2022-01-01,16151295.234322831,14543761.81711246,17846098.505493
2023-01-01,16316949.27190294,14617478.577480225,18003228.765514404
2024-01-01,16482603.309483044,14992947.020713242,18167689.294829994
2025-01-01,16648711.19374145,14948557.655042602,18352957.14029978
2026-01-01,16814365.23132156,15159815.327538854,18613478.043787975
2027-01-01,16980019.268901665,15454976.846947508,18609043.52365623
2028-01-01,17145673.30648177,15510049.91337974,18775410.322362147
2029-01-01,17311781.19074018,15444493.497622747,19256733.655315503
2030-01-01,17477435.22832029,15914343.923534421,19024157.796205565
2031-01-01,17643089.265900392,15893297.903872127,19250037.455343083
2032-01-01,17808743.3034805,16171117.919378618,19494830.80734911
2033-01-01,17974851.187738907,16256756.432036065,19769856.584101528
2034-01-01,18140505.225319013,16431854.520533739,19852391.43256429
2035-01-01,18306159.26289912,16642685.182962919,19995385.93587046
2036-01-01,18471813.30047923,16793435.16776248,20244871.45083339
2037-01-01,18637921.184737638,16815695.31702729,20263601.660400756
2038-01-01,18803575.22231774,17102420.35391786,20344592.965789977
2039-01-01,18969229.259897847,17209651.563973695,20592253.610371172
2040-01-01,19134883.297477953,17509564.302409872,20805749.54587415
2041-01-01,19300991.18173636,17628621.875417866,20997910.591954894
2042-01-01,19466645.219316468,17834151.547766943,21141540.361690447
2043-01-01,19632299.256896574,18083921.132665988,21349218.671300676
2044-01-01,19797953.29447668,18139110.79240227,21433603.430985224
