Year,forecast,lower_ci,upper_ci
2025,63297.44117768209,41744.6223437732,84850.26001159099
2026,62602.5946819082,32289.142724580477,92916.04663923592
2027,61915.3758507556,24991.595322873363,98839.15637863782
2028,61235.70095167626,18831.441498346445,103639.96040500607
2029,60563.487171294684,13410.71188659755,107716.26245599182
2030,59898.65260531765,8523.932876449166,111273.37233418613
2031,59241.11624855482,4048.210982636563,114434.02151447308
2032,58590.79798504884,-97.08343108801637,117278.6794011857
2033,57947.618578313806,-3968.3544176713913,119863.591574299
2034,57311.49966168088,-7606.967676004511,122229.96699936627
2035,56682.363728749886,-11044.382091183754,124409.10954868353
2036,56060.13412394573,-14305.222117783582,126425.49036567504
2037,55444.7350331785,-17409.220039231586,128298.69010558858
2038,54836.09147460603,-20372.498746267855,130044.68169547991
2039,54234.12928949796,-23208.45006923109,131676.708648227
2040,53638.77513320005,-25928.35465370296,133205.90492010306
2041,53049.95646619761,-28541.83084711941,134641.74377951463
2042,52467.601545277175,-31057.16706173312,135992.37015228748
2043,51891.639414785066,-33481.57266939855,137264.85149896867
2044,51321.999897981994,-35821.37064759989,138465.37044356388
