year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,64000.0,116786962.0,5.279999999999999,616635.1593599999,-552635.1593599999
2026,64000.0,117724471.0,5.279999999999999,621585.2068799998,-557585.2068799998
2027,64000.0,118656413.0,5.279999999999999,626505.8606399999,-562505.8606399999
2028,64000.0,119583981.0,5.279999999999999,631403.4196799999,-567403.4196799999
2029,64000.0,120502129.0,5.279999999999999,636251.2411199999,-572251.2411199999
2030,64000.0,121408895.0,5.279999999999999,641038.9655999999,-577038.9655999999
2031,64000.0,122301597.0,5.279999999999999,645752.43216,-581752.43216
2032,64000.0,123180331.0,5.279999999999999,650392.1476799999,-586392.1476799999
2033,64000.0,124049029.0,5.279999999999999,654978.8731199999,-590978.8731199999
2034,64000.0,124904114.0,5.279999999999999,659493.7219199999,-595493.7219199999
2035,64000.0,125740971.0,5.279999999999999,663912.3268799998,-599912.3268799998
2036,64000.0,126558226.0,5.279999999999999,668227.43328,-604227.43328
2037,64000.0,127352596.0,5.279999999999999,672421.7068799998,-608421.7068799998
2038,64000.0,128118527.0,5.279999999999999,676465.82256,-612465.82256
2039,64000.0,128850041.0,5.279999999999999,680328.21648,-616328.21648
2040,64000.0,129546659.0,5.279999999999999,684006.3595199998,-620006.3595199998
2041,64000.0,130209801.0,5.279999999999999,687507.74928,-623507.74928
2042,64000.0,130836996.0,5.279999999999999,690819.3388799998,-626819.3388799998
2043,64000.0,131427393.0,5.279999999999999,693936.63504,-629936.63504
2044,64000.0,131979663.0,5.279999999999999,696852.6206399999,-632852.6206399999
