ds,yhat,yhat_lower,yhat_upper
1961-01-01,83669.473906,39007.64552086422,124837.83812716225
1962-01-01,83919.59796614975,39925.21036196953,128656.16816123959
1963-01-01,84169.72202629953,39938.45954751394,130760.74545887855
1964-01-01,84419.84608616927,41050.710017056575,123896.99827577948
1965-01-01,84670.65541743592,36509.62763473225,131291.04129265805
1966-01-01,84920.77947762811,41113.67712348972,126268.40512084763
1967-01-01,85170.9035378203,40680.79498331374,131155.77683373343
1968-01-01,85421.02759820226,39049.624657433975,127448.16884976716
1969-01-01,85671.83692998254,40811.54099135138,130949.24255346472
1970-01-01,85921.96099021741,40693.024052248125,128938.856689466
1971-01-01,86172.08505045228,39168.68308493832,130471.14060410713
1972-01-01,86422.20911002331,44774.21389808086,131760.2002751096
1973-01-01,86673.01844099043,42229.360882218534,131022.31293547813
1974-01-01,86923.14250001383,42160.64758093488,130772.74241548678
1975-01-01,87173.2665590372,43681.8157590984,131642.64024588605
1976-01-01,87423.39051464866,43045.92850317144,133822.37482394546
1977-01-01,87674.19974137137,44923.7983115373,130495.81002190229
1978-01-01,87924.32231449084,44063.43276275759,131099.47221633422
1979-01-01,88174.44488761033,43435.64511699791,132667.9494499604
1980-01-01,88424.12328782553,43025.99337143715,138142.54569446147
1981-01-01,88674.48573845228,41515.66835519932,134820.5591953493
1982-01-01,88923.07600323149,41356.695092322756,136655.91707000986
1983-01-01,89171.66626801071,44160.05056557454,131822.62280322384
1984-01-01,89420.06833773045,44782.646205724544,135238.21442992974
1985-01-01,89669.15096106584,46638.75722961747,136117.66029302505
1986-01-01,89916.45042491688,46602.967324569356,137625.83534114523
1987-01-01,90163.74988876792,45805.040983766114,136779.31848776597
1988-01-01,90409.35179161308,47814.42121874296,134274.7087942312
1989-01-01,90655.62657638385,46514.02729776499,136758.019719559
1990-01-01,90899.31385893203,46559.30758154562,133340.15631086778
1991-01-01,91143.00114148024,45413.42283855353,134430.36139823546
1992-01-01,91384.95316397057,45329.38606006667,138998.6013481621
1993-01-01,91627.5680687143,46853.61761372798,138174.4464306017
1994-01-01,91868.21695182804,45820.09507915254,134815.63847101267
1995-01-01,92108.86583494175,44770.651720463735,138083.34932618556
1996-01-01,92348.88546304117,46328.52278634759,137676.72151058604
1997-01-01,92589.5626791628,48859.052781567574,136687.72571297616
1998-01-01,92827.63802016387,46828.73451701549,138574.79157559093
1999-01-01,93065.71336116493,49249.753816548684,141947.62829050503
2000-01-01,93302.91780924515,47918.99471882672,140006.90464001553
2001-01-01,93540.77213252557,49689.21526581831,137928.3933598867
2002-01-01,93777.72411150596,50263.36399269814,138272.95939235
2003-01-01,94014.67609048635,47825.72776114898,138530.77026016946
2004-01-01,94251.54910479036,46605.46245033318,138073.56333039806
2005-01-01,94489.07108625685,48264.35646511825,139731.71327722538
2006-01-01,94725.34129911606,50400.12624665438,137989.54551113266
2007-01-01,94961.61151197525,49087.054777154204,136796.86613073904
2008-01-01,95197.75393720024,49302.575881252014,142055.13928068665
2009-01-01,95434.54332797376,49104.70346706994,139392.95180450557
2010-01-01,95670.68575297185,49011.491795987036,137746.78097186066
2011-01-01,95906.82817796992,51811.31746212104,141821.32003529504
2012-01-01,96142.97060290216,51624.18317354419,140370.32488281
2013-01-01,96379.75999338218,52081.251992301026,139796.1858363496
2014-01-01,96615.90241831442,49696.045531473705,141974.26597722227
2015-01-01,96852.04484324667,51590.04731517635,142748.48583516412
2016-01-01,97088.18726817891,51781.674521129105,142809.6249432328
2017-01-01,97324.97665865891,51629.95512253713,141466.88269149858
2018-01-01,97561.11908359117,53704.95728128105,140170.22350119328
2019-01-01,97797.26150852341,56364.735933405915,144291.0374839194
2020-01-01,98033.40393345566,52964.43232250804,143502.1837960704
2021-01-01,98270.19332393566,53674.83397578742,141700.28722985217
2022-01-01,98506.3357488679,55423.97663630873,143927.55211176103
2023-01-01,98742.47817380015,53196.17352188997,143935.25484029375
2024-01-01,98978.62059873238,59055.402518181516,144139.41089958962
2025-01-01,99215.40998921239,53650.82311222419,144889.59259600274
2026-01-01,99451.55241414465,55108.80164888677,147668.2898796753
2027-01-01,99687.69483907688,58816.09855627652,143345.78934359257
2028-01-01,99923.83726400913,56088.96559599912,143601.13387992824
2029-01-01,100160.62665448913,50117.17392817802,152286.53212908714
2030-01-01,100396.76907942137,58505.397698651905,141846.5796701173
2031-01-01,100632.91150435361,53737.386681384996,143699.4374536592
2032-01-01,100869.05392928587,56982.44005872529,146056.81122218224
2033-01-01,101105.84331976587,55059.9463912829,149212.92456807903
2034-01-01,101341.98574469812,55551.543601132056,147218.97910283125
2035-01-01,101578.12816963036,56996.52108945624,146856.21303980218
2036-01-01,101814.27059456261,56831.96056553432,149335.6984791843
2037-01-01,102051.05998504262,53212.66518395663,145618.90344097032
2038-01-01,102287.20240997487,56701.97165959411,143584.92995777878
2039-01-01,102523.3448349071,55366.636759030735,146022.63064689277
2040-01-01,102759.48725983934,59205.21135709276,147552.26901589366
2041-01-01,102996.27665031934,58181.10773125727,148474.54888661503
2042-01-01,103232.41907525159,59499.60589161644,148116.05988756576
2043-01-01,103468.56150018383,61974.3993011489,149488.27334212
2044-01-01,103704.70392511607,59245.94800637148,147532.29772336004
