Year,forecast,lower_ci,upper_ci
2025,8318874.604605492,7730436.491721833,8907312.717489151
2026,8420172.465491937,7658232.467940878,9182112.463042997
2027,8535557.135620615,7622803.1028668815,9448311.168374348
2028,8648442.54681415,7608060.387654569,9688824.70597373
2029,8761771.372489806,7607538.865668949,9916003.879310664
2030,8875021.528284486,7617242.962168742,10132800.09440023
2031,8988285.641562339,7634853.150945406,10341718.132179271
2032,9101547.278526079,7658789.905515527,10544304.65153663
2033,9214809.354833469,7687943.694235902,10741675.015431035
2034,9328071.353193218,7721494.697317954,10934648.009068482
2035,9441333.365382312,7758817.875091013,11123848.855673611
2036,9554595.375117825,7799423.532900566,11309767.217335084
2037,9667857.385288648,7842919.573491601,11492795.197085695
2038,9781119.39538224,7888986.250479545,11673252.540284935
2039,9894381.405489534,7937358.753814256,11851404.057164812
2040,10007643.415594397,7987814.8386360165,12027471.992552778
2041,10120905.42569969,8040165.821273932,12201645.030125448
2042,10234167.435804907,8094249.885394633,12374084.986215182
2043,10347429.445910139,8149927.01276428,12544931.879056
2044,10460691.456015367,8207075.081205752,12714307.830824982
