year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,8325955.9607,116786962.0,33.254000000000005,3883633.6343480004,4442322.326351999
2026,8438486.0066,117724471.0,33.254000000000005,3914809.558634001,4523676.447965999
2027,8551016.0524,118656413.0,33.254000000000005,3945800.3579020007,4605215.694498
2028,8663546.0983,119583981.0,33.254000000000005,3976645.704174001,4686900.394126
2029,8776076.1442,120502129.0,33.254000000000005,4007177.797766001,4768898.346434
2030,8888606.19,121408895.0,33.254000000000005,4037331.3943300005,4851274.795669999
2031,9001136.2359,122301597.0,33.254000000000005,4067017.3066380005,4934118.929261999
2032,9113666.2817,123180331.0,33.254000000000005,4096238.727074001,5017427.554625999
2033,9226196.3276,124049029.0,33.254000000000005,4125126.4103660006,5101069.917234
2034,9338726.3735,124904114.0,33.254000000000005,4153561.4069560007,5185164.966544
2035,9451256.4193,125740971.0,33.254000000000005,4181390.249634001,5269866.169665998
2036,9563786.4652,126558226.0,33.254000000000005,4208567.247404001,5355219.217795999
2037,9676316.5111,127352596.0,33.254000000000005,4234983.227384001,5441333.283715999
2038,9788846.5569,128118527.0,33.254000000000005,4260453.496858001,5528393.060041999
2039,9901376.6028,128850041.0,33.254000000000005,4284779.263414,5616597.339386
2040,10013906.6486,129546659.0,33.254000000000005,4307944.598386001,5705962.050214
2041,10126436.6945,130209801.0,33.254000000000005,4329996.722454,5796439.972045999
2042,10238966.7404,130836996.0,33.254000000000005,4350853.464984001,5888113.275415999
2043,10351496.7862,131427393.0,33.254000000000005,4370486.526822001,5981010.259377999
2044,10464026.8321,131979663.0,33.254000000000005,4388851.713402,6075175.118698
