ds,yhat,yhat_lower,yhat_upper
1961-01-01,1095226.3553147134,562243.3230041696,1586519.2645222244
1962-01-01,1199630.8556575738,674612.8938375119,1733505.8379385974
1963-01-01,1304035.3560004341,776190.5889753404,1860040.917022476
1964-01-01,1408439.8563035426,890883.4891195843,1879550.2662841147
1965-01-01,1513130.3963335094,938388.7980840111,2069486.3613645632
1966-01-01,1617534.8966682048,1094751.949940081,2110967.0666216146
1967-01-01,1721939.3970029,1191005.6259820503,2270711.314675419
1968-01-01,1826343.8973034767,1272959.2320198142,2327885.2357019205
1969-01-01,1931034.4373309044,1395682.943130152,2471363.6136525255
1970-01-01,2035438.937664488,1495688.174451126,2548791.7568249884
1971-01-01,2139843.437998072,1578916.655232753,2668497.2305360017
1972-01-01,2244247.9383255085,1747231.233449542,2785300.1272698967
1973-01-01,2348938.4783798708,1818559.041864698,2878191.8098080195
1974-01-01,2453342.9787422707,1919158.6173224358,2976633.080683803
1975-01-01,2557747.479104671,2038731.4386720099,3088433.8054274786
1976-01-01,2662151.9794919775,2132562.5039971713,3215865.793893917
1977-01-01,2766842.5196063714,2256669.976062469,3277864.851673136
1978-01-01,2871247.019976844,2347822.190354308,3386488.4050072297
1979-01-01,2975651.520347317,2441749.9308725055,3506625.8184720417
1980-01-01,3080056.0207463335,2538286.1510623223,3673383.174920896
1981-01-01,3184746.56087247,2621965.089582086,3735442.2007417
1982-01-01,3289151.0612293966,2721505.829258282,3858782.7868538657
1983-01-01,3393555.5615863237,2856398.255364939,3902541.3547574957
1984-01-01,3497960.0618816353,2965268.287660401,4044742.2990189614
1985-01-01,3602650.6019037827,3089136.700620311,4156955.4354759683
1986-01-01,3707055.102234877,3190162.883589437,4276406.908055377
1987-01-01,3811459.6025659717,3282093.921929457,4367758.079433593
1988-01-01,3915864.1029286645,3407546.909507601,4439342.245986978
1989-01-01,4020554.6430183793,3493779.8940834412,4570729.013004545
1990-01-01,4124959.143375062,3595816.6551948143,4631437.487897454
1991-01-01,4229363.643731744,3683638.352326341,4745944.118928834
1992-01-01,4333768.144109876,3784152.5843046703,4901977.451837721
1993-01-01,4438458.684215071,3904137.6153095504,4993937.429061207
1994-01-01,4542863.1846231725,3993336.474335773,5055386.91638406
1995-01-01,4647267.685031275,4082345.3382494,5195915.6133867875
1996-01-01,4751686.794114835,4202491.355093837,5292617.794439402
1997-01-01,4856391.982949309,4334523.071342821,5382648.3746582735
1998-01-01,4960852.611945613,4411913.261307034,5506787.641996074
1999-01-01,5065313.2409419175,4542424.594729261,5648657.725173931
2000-01-01,5169824.533732701,4628224.204738329,5727178.171550635
2001-01-01,5274622.158832502,4751308.703126902,5804332.871855717
2002-01-01,5418716.601859882,4899427.167375063,5949711.553944023
2003-01-01,5562811.044887262,5011603.74706874,6094054.921707047
2004-01-01,5706930.982658677,5138334.562381462,6229891.883912186
2005-01-01,5851445.769574669,5299811.645821161,6391360.08783193
2006-01-01,5995595.612902092,5466629.639481696,6511899.749682521
2007-01-01,6139745.456229514,5592290.028664338,6638996.8677909225
2008-01-01,6283895.299641275,5736193.782413808,6843079.556746765
2009-01-01,6428440.074130873,5875551.412193676,6953028.670086453
2010-01-01,6572589.917504476,6015770.826581718,7074715.460242315
2011-01-01,6716739.760878078,6190515.021264929,7264671.764155837
2012-01-01,6860889.60424844,6329613.58674476,7388687.731810617
2013-01-01,7005434.378696528,6476787.120513362,7523555.090153387
2014-01-01,7149584.222066893,6589654.445267876,7690879.530037686
2015-01-01,7293734.065437255,6753588.765452804,7841450.654225087
2016-01-01,7437883.908807618,6897207.375390646,7983512.052006477
2017-01-01,7582428.683255706,7037115.78361805,8109207.0929184
2018-01-01,7726578.526626068,7203210.116776628,8235064.867146968
2019-01-01,7870728.369996432,7376283.025598937,8425573.404311711
2020-01-01,8014878.213366794,7477036.436152065,8557491.201748222
2021-01-01,8159422.987814884,7627233.180281948,8677706.81049893
2022-01-01,8303572.831185246,7789438.788107293,8845618.208718091
2023-01-01,8447722.67455561,7904184.524827863,8987041.910179595
2024-01-01,8591872.517925972,8115438.869740424,9130810.036303576
2025-01-01,8736417.292374063,8192521.73341563,9282247.964267524
2026-01-01,8880567.135744425,8350728.940798934,9456798.43999189
2027-01-01,9024716.979114788,8538104.844037786,9547567.10795866
2028-01-01,9168866.822485149,8647217.046063945,9690372.156829285
2029-01-01,9313411.59693324,8714070.596613513,9932327.5659405
2030-01-01,9457561.440303603,8954535.555634426,9953278.386293788
2031-01-01,9601711.283673964,9041482.889769478,10116766.259498319
2032-01-01,9745861.127044328,9217716.721209923,10285728.04004666
2033-01-01,9890405.901492419,9341343.90696781,10469904.107519016
2034-01-01,10034555.74486278,9498403.683301108,10588761.213704303
2035-01-01,10178705.588233143,9638969.19729735,10723326.088566864
2036-01-01,10322855.431603506,9769012.932455165,10902654.898730755
2037-01-01,10467400.206051596,9888217.50662928,10987388.80444592
2038-01-01,10611550.049421959,10055075.78346349,11125767.266629072
2039-01-01,10755699.89279232,10192611.7332993,11294809.90110897
2040-01-01,10899849.736162685,10366149.50761642,11438486.464023005
2041-01-01,11044394.510610772,10513345.82252101,11583997.497309508
2042-01-01,11188544.353981135,10655626.727511212,11732718.643193284
2043-01-01,11332694.197351499,10830837.883442061,11882710.684252556
2044-01-01,11476844.040721862,10929129.111771932,12022546.206033187
