Year,forecast,lower_ci,upper_ci
2025,231155.6977777778,212862.5800257972,249448.8155297584
2026,234048.75555555557,208178.38033261657,259919.13077849458
2027,236941.81333333335,205257.20395806278,268626.4227086039
2028,239834.87111111113,203248.63560714992,276421.10661507235
2029,242727.9288888889,201823.27407505215,283632.5837027257
2030,245620.9866666667,200812.18236966533,290429.790963668
2031,248514.04444444447,200115.00416868285,296913.0847202061
2032,251407.10222222225,199666.35177634427,303147.85266810027
2033,254300.16000000003,199420.8067440582,309179.51325594186
2034,257193.2177777778,199345.30017585994,315041.1353796957
2035,260086.2755555556,199414.86772644627,320757.68338466494
2036,262979.3333333334,199610.11458279224,326348.5520838745
2037,265872.39111111115,199915.61706824455,331829.16515397775
2038,268765.44888888893,200318.8697250652,337212.0280527127
2039,271658.5066666667,200809.5662630346,342507.44707029883
2040,274551.5644444445,201379.0934365221,347724.0354523669
2041,277444.6222222223,202020.16550894477,352869.07893549977
2042,280337.68000000005,202726.55433118308,357948.805668817
2043,283230.73777777783,203492.88613460446,362968.5894209512
2044,286123.7955555556,204314.48592788208,367933.10518322914
