ds,yhat,yhat_lower,yhat_upper
1961-01-01,38929.2284092768,23718.399231136926,52950.26109767332
1962-01-01,41997.056637690046,27013.543001092537,57233.34122024982
1963-01-01,45064.88486610328,30000.696895639616,60932.755132326754
1964-01-01,48132.71309353981,33362.146276120155,61577.75643608781
1965-01-01,51208.94632981861,34806.367368448424,67086.8167934242
1966-01-01,54276.77455880932,39357.04612870639,68358.85971567243
1967-01-01,57344.60278780003,42192.257579185,73006.03174791254
1968-01-01,60412.43101730713,44619.35862447443,74725.94413438025
1969-01-01,63488.664255662196,48210.241426237175,78909.14540186961
1970-01-01,66556.49248567878,51152.51869983889,81207.09403769451
1971-01-01,69624.3207156954,53616.003458204264,84711.59750537186
1972-01-01,72692.14894717475,58507.76457047772,88133.26418646178
1973-01-01,75768.38218750748,60631.857158827355,90872.76924728997
1974-01-01,78836.21042029721,63591.096451159516,93770.41257817441
1975-01-01,81904.03865308697,67091.81414846914,97049.32202519919
1976-01-01,84971.86688535172,69857.88659338882,100774.33288118626
1977-01-01,88048.10012647198,73488.260617919,102632.19179180145
1978-01-01,91115.92835828588,76177.88120044232,105820.42778527514
1979-01-01,94183.75659009977,78946.7126635176,109337.25840374113
1980-01-01,97251.58482092156,81789.98765543227,114184.57788409041
1981-01-01,100327.81806059493,84266.56975535331,116044.14822383487
1982-01-01,103395.6462914225,87195.59087902548,119652.39434465961
1983-01-01,106463.4745222501,91133.51553405733,120989.4453030906
1984-01-01,109531.30275403494,94328.785804943,125135.94812272862
1985-01-01,112607.535994674,97952.33731196624,128426.86911590399
1986-01-01,115675.80374402457,100924.19109466636,131924.56315210104
1987-01-01,118744.07149337513,103636.47809396613,134620.3012994349
1988-01-01,121814.65841486548,107307.76883543463,136754.22708749535
1989-01-01,124893.65790326403,109860.00723211424,140595.1115194728
1990-01-01,127965.86775406585,112864.64405522951,142420.27833362904
1991-01-01,131038.07760486768,115463.59646280829,145780.79339250084
1992-01-01,134873.21610963243,119187.71040487733,151089.369708011
1993-01-01,138718.86184317738,123469.84637232935,154571.69727644336
1994-01-01,142554.96421858427,126871.99419462196,157181.90440420606
1995-01-01,146391.06659399119,130268.71973697847,162048.9570168397
1996-01-01,150228.22319897005,134554.7073421001,165665.87983022892
1997-01-01,154075.89256177077,139182.24982531133,169094.74981035446
1998-01-01,157913.04916622772,142246.84182839745,173493.51604987477
1999-01-01,161750.20577068467,146827.4607777533,178398.30292153975
2000-01-01,165587.36237674576,150130.60374140192,181493.705473469
2001-01-01,169435.0317406317,154500.16308852416,184552.47203642744
2002-01-01,173272.18834552972,158452.16143450572,188426.27960354267
2003-01-01,177109.3449504278,161378.41255561102,192270.54028381003
2004-01-01,180946.50155543277,164719.30013281922,195871.30863855657
2005-01-01,184794.17091825968,169051.0573169273,200202.81240960455
2006-01-01,188631.32752269958,173535.14138734416,203366.15687456206
2007-01-01,192468.48412713944,176844.6265434565,206716.64490870276
2008-01-01,196305.6407299177,180674.75998116442,212264.22796122907
2009-01-01,200153.3100905118,184374.39316176993,215124.57003341996
2010-01-01,203990.4666908703,188099.379054485,218320.6524445434
2011-01-01,207827.62329122875,192809.66936337648,223465.0818927961
2012-01-01,211664.77987532286,196502.6672773698,226727.63679984253
2013-01-01,215512.4492171816,200425.35891177965,230299.12188377907
2014-01-01,219349.6058012757,203369.74214647664,234797.65942650827
2015-01-01,223186.7623853698,207771.5288950633,238818.07326213142
2016-01-01,227023.9189694639,211593.5245818944,242595.6275940413
2017-01-01,230871.58831132267,215308.87643836453,245905.34345616336
2018-01-01,234708.74489541678,219772.30790427423,249220.4617723142
2019-01-01,238545.9014795109,224434.90128696678,254380.65141652478
2020-01-01,242383.058063605,227033.56492380516,257868.7170353918
2021-01-01,246230.72740546375,231042.5361085708,261022.05511145914
2022-01-01,250067.88398955783,235394.987049438,265537.3438872014
2023-01-01,253905.04057365196,238392.97837634393,269296.6989722285
2024-01-01,257742.1971577461,244145.23365620273,273122.96170890715
2025-01-01,261589.86649960483,246068.88810057228,277160.28734407027
2026-01-01,265427.02308369894,250317.03366653167,281850.8818355041
2027-01-01,269264.17966779304,255364.26798701362,284162.10777212627
2028-01-01,273101.33625188714,258148.50875187034,287994.70741896494
2029-01-01,276949.00559374597,259861.0445574516,294604.5561348704
2030-01-01,280786.16217784,266394.0829736589,294900.9673958764
2031-01-01,284623.3187619341,268663.4970649111,299180.905080888
2032-01-01,288460.4753460282,273376.8927817611,303833.0579321613
2033-01-01,292308.14468788705,276568.8606720556,308650.87416555063
2034-01-01,296145.3012719811,280879.54756196495,311779.1947787358
2035-01-01,299982.4578560752,284658.2962660752,315440.98105210095
2036-01-01,303819.61444016936,288470.65788767237,320090.78454062826
2037-01-01,307667.28378202807,291114.2532918425,322559.223152682
2038-01-01,311504.4403661222,295778.59687318665,326156.43568909186
2039-01-01,315341.5969502163,299483.08173382015,330433.3774070029
2040-01-01,319178.75353431044,304200.22268246347,334564.0292691577
2041-01-01,323026.42287616915,307978.7407969187,338261.83088170324
2042-01-01,326863.57946026325,311803.46064597386,342477.2916449717
2043-01-01,330700.73604435736,316533.9354623868,346156.88162490743
2044-01-01,334537.89262845146,318889.17254455347,349761.71511985053
