Year,forecast,lower_ci,upper_ci
2025,5419.26,1161.290331229574,9677.229668770426
2026,5419.26,-602.4184537484125,11440.938453748413
2027,5419.26,-1955.7598033976028,12794.279803397603
2028,5419.26,-3096.6793375408524,13935.199337540853
2029,5419.26,-4101.849625502939,14940.369625502939
2030,5419.26,-5010.5930287350475,15849.113028735048
2031,5419.26,-5846.2688336226165,16684.788833622617
2032,5419.26,-6624.096907496827,17462.616907496827
2033,5419.26,-7354.6490063112815,18193.169006311284
2034,5419.26,-8045.622361227275,18884.142361227277
2035,5419.26,-8702.827760025368,19541.34776002537
2036,5419.26,-9330.779606795208,20169.299606795208
2037,5419.26,-9933.067970122192,20771.587970122193
2038,5419.26,-10512.603663814261,21351.12366381426
2039,5419.26,-11071.785615804174,21910.305615804173
2040,5419.26,-11612.618675081709,22451.13867508171
2041,5419.26,-12136.798695016716,22975.318695016715
2042,5419.26,-12645.775361245242,23484.29536124524
2043,5419.26,-13140.799490831649,23979.31949083165
2044,5419.26,-13622.959251005877,24461.479251005876
