ds,yhat,yhat_lower,yhat_upper
1961-01-01,14292.9888946,9826.08982604327,18410.485522989653
1962-01-01,14226.661313485789,9826.51702659759,18701.035761652754
1963-01-01,14160.333732371575,9736.498159322524,18820.183243668274
1964-01-01,14094.006151190371,9756.397044804015,18042.354454900462
1965-01-01,14027.496850608675,9210.621726550995,18690.283077047483
1966-01-01,13961.169269316919,9579.756510877402,18096.59491468077
1967-01-01,13894.841688025164,9445.117356357301,18494.066464984306
1968-01-01,13828.51410676854,9190.630166649216,18031.902210180746
1969-01-01,13762.004806111214,9275.255799432776,18290.47147035351
1970-01-01,13695.677224715375,9172.05820630398,17998.056645328772
1971-01-01,13629.349643319538,8928.25566552283,18059.9656110353
1972-01-01,13563.022061771624,9397.554642587385,18097.54825176879
1973-01-01,13496.512760822206,9051.43427365026,17932.15342828999
1974-01-01,13430.185179093778,8953.217842779894,17815.84837518901
1975-01-01,13363.857597365348,9014.015056367081,17811.5081097478
1976-01-01,13297.529990794153,8859.072119912327,17938.172510081513
1977-01-01,13231.020664752898,8955.294944779745,17513.86841175342
1978-01-01,13164.692467202878,8777.900126432674,17482.89984595695
1979-01-01,13098.364269652855,8623.766828178515,17548.42825656596
1980-01-01,13032.031450129603,8491.490420572823,18004.671012110157
1981-01-01,12965.516896854237,8248.878884927284,17580.864275036525
1982-01-01,12899.146252643268,8141.745351961203,17673.195838390217
1983-01-01,12832.775608432301,8330.892198697948,17098.555244171635
1984-01-01,12766.335271325193,8301.877219478141,17348.884654152454
1985-01-01,12699.712905897244,8395.983465599462,17345.30872167066
1986-01-01,12633.203640579142,8301.160723561385,17404.907235110943
1987-01-01,12566.694375261039,8130.11211576541,17228.998796824042
1988-01-01,12500.009756406807,8239.833615375457,16887.248913908836
1989-01-01,12433.142439966672,8018.274624839548,17044.12108628702
1990-01-01,12366.206471315141,7931.494774510193,16610.97132918222
1991-01-01,12299.270502663609,7725.579319102038,16628.700716396932
1992-01-01,12232.057077385833,7625.761785929532,16994.18546340906
1993-01-01,12164.65950573743,7686.546432123381,16820.093802022035
1994-01-01,12097.158339315529,7491.607690379291,16392.5892277833
1995-01-01,12029.657172893625,7295.0766109057795,16627.84280276726
1996-01-01,11961.868452799226,7359.094168628136,16495.37896818729
1997-01-01,11893.894010184024,7520.141725691987,16304.417504254916
1998-01-01,11825.879809424598,7225.2517867431725,16401.32880008592
1999-01-01,11757.865608665168,7375.566989137422,16646.841008064835
2000-01-01,11689.7600554341,7150.639936305462,16360.907718114364
2001-01-01,11621.467911646236,7235.608989044457,16060.941867037134
2002-01-01,11553.138150860648,7201.004310584735,16003.375237378228
2003-01-01,11484.80839007506,6865.172837075638,15937.131699985086
2004-01-01,11416.42542090996,6651.052667652919,15799.329605634184
2005-01-01,11347.855101144407,6724.642345390209,15872.844864643277
2006-01-01,11279.42563262891,6846.193295519435,15606.53987054095
2007-01-01,11210.996164113416,6622.804812381276,15395.192527009845
2008-01-01,11142.566517385381,6552.3127028417985,15829.056491349016
2009-01-01,11073.949392173157,6440.222426576504,15470.495189308669
2010-01-01,11005.519744891637,6338.852087921515,15213.804030098185
2011-01-01,10937.090097610118,6526.831877870201,15529.275602021764
2012-01-01,10868.660450161702,6416.067771093092,15292.105140648218
2013-01-01,10800.043324227123,6369.482120549687,15142.382166372667
2014-01-01,10731.613676778708,6038.875546639868,15268.177432864777
2015-01-01,10663.184029330292,6136.258421724771,15253.564157724171
2016-01-01,10594.754381881874,6063.376538499498,15167.631372107046
2017-01-01,10526.137255947297,5955.902303244038,14941.035751415839
2018-01-01,10457.707608498882,6071.388118488672,14719.301361305665
2019-01-01,10389.277961050464,6245.360960978847,15039.401167096865
2020-01-01,10320.84831360205,5813.228393214869,14868.455470776149
2021-01-01,10252.231187667472,5791.980088756032,14595.937055299071
2022-01-01,10183.801540219054,5874.8747284549845,14726.651584657606
2023-01-01,10115.37189277064,5560.011013422258,14635.374304141664
2024-01-01,10046.942245322223,6053.980199076214,14563.745507172644
2025-01-01,9978.325119387646,5421.13324882226,14546.489472308564
2026-01-01,9909.89547193923,5474.9550229855095,14732.343094530124
2027-01-01,9841.465824490813,5753.653419296028,14208.006049162008
2028-01-01,9773.036177042395,5388.804294682018,14141.483330397896
2029-01-01,9704.41905110782,4699.217393301083,14917.761380474662
2030-01-01,9635.989403659403,5446.19048946848,13782.016095709014
2031-01-01,9567.559756210987,4877.338441336256,13874.923251214197
2032-01-01,9499.13010876257,5109.463124220418,14018.613361628042
2033-01-01,9430.512982827993,4825.247718329598,14241.93558692231
2034-01-01,9362.083335379577,4782.047773059199,13950.797332977414
2035-01-01,9293.65368793116,4834.781039360156,13821.328180427627
2036-01-01,9225.224040482744,4726.447433520931,13977.726515876291
2037-01-01,9156.606914548167,4272.285682046438,13514.207211259958
2038-01-01,9088.17726709975,4528.078376501762,13218.883318208014
2039-01-01,9019.747619651334,4303.255067543425,13370.133665351885
2040-01-01,8951.317972202918,4594.546885359409,13429.534599171997
2041-01-01,8882.70084626834,4399.810865821032,13431.21077073347
2042-01-01,8814.271198819926,4437.773643253325,13303.90258929089
2043-01-01,8745.841551371508,4595.85318302571,13347.46724078324
2044-01-01,8677.411903923092,4230.999977945803,13062.07468455362
