Year,forecast,lower_ci,upper_ci
2025,30679.62554220419,23466.582229191725,37892.66885521666
2026,30396.85019968881,20353.036072674357,40440.66432670326
2027,30116.681208878235,17917.00695329868,42316.35546445779
2028,29839.094546923978,15842.452435095578,43835.73665875238
2029,29564.06641239711,14003.984047120308,45124.148777673916
2030,29291.573223247437,12336.384645398608,46246.76180109626
2031,29021.59161478146,10800.496191645972,47242.68703791695
2032,28754.09843765901,9370.571091522892,48137.62578379513
2033,28489.07075590831,8028.575786819223,48949.565724997396
2034,28226.48584495936,6761.2767355416145,49691.694954377104
2035,27966.321189695434,5558.607714168298,50374.03466522257
2036,27708.554482522544,4412.690038811164,51004.41892623392
2037,27453.163621456693,3317.212110522465,51589.11513239092
2038,27200.126708228763,2267.019089915866,52133.23432654166
2039,26949.422046406853,1257.8316569453018,52641.012435868404
2040,26701.028139535956,286.0473725307711,53116.008906541145
2041,26454.923689294756,-651.4032525329567,53561.25063112247
2042,26211.087593669414,-1557.1633741706028,53979.33856150943
2043,25969.49894514421,-2433.5303240120265,54372.528214300444
2044,25730.137028908826,-3282.5174406901606,54742.79149850781
