year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,30732.6136,116786962.0,1.086,126830.64073200001,-96098.02713200002
2026,30536.8127,117724471.0,1.086,127848.775506,-97311.96280600001
2027,30363.4367,118656413.0,1.086,128860.864518,-98497.427818
2028,30209.9172,119583981.0,1.086,129868.20336600002,-99658.28616600002
2029,30073.9803,120502129.0,1.086,130865.31209400001,-100791.33179400001
2030,29953.612,121408895.0,1.086,131850.05997,-101896.44797000001
2031,29847.0295,122301597.0,1.086,132819.534342,-102972.504842
2032,29752.6537,123180331.0,1.086,133773.839466,-104021.18576600001
2033,29669.0868,124049029.0,1.086,134717.24549400003,-105048.15869400003
2034,29595.0907,124904114.0,1.086,135645.867804,-106050.77710400001
2035,29529.5693,125740971.0,1.086,136554.694506,-107025.125206
2036,29471.552,126558226.0,1.086,137442.233436,-107970.68143600001
2037,29420.1793,127352596.0,1.086,138304.91925600002,-108884.73995600002
2038,29374.6904,128118527.0,1.086,139136.720322,-109762.02992200002
2039,29334.4112,128850041.0,1.086,139931.14452600002,-110596.73332600002
2040,29298.7452,129546659.0,1.086,140687.671674,-111388.926474
2041,29267.164,130209801.0,1.086,141407.84388600002,-112140.67988600001
2042,29239.1998,130836996.0,1.086,142088.97765600003,-112849.77785600003
2043,29214.4383,131427393.0,1.086,142730.148798,-113515.710498
2044,29192.5126,131979663.0,1.086,143329.914018,-114137.40141800001
