ds,yhat,yhat_lower,yhat_upper
1961-01-01,24947.30784598,13443.780373421481,35551.02529199596
1962-01-01,25090.829700074803,13759.214655592865,36613.608387714376
1963-01-01,25234.351554169607,13841.72475253156,37234.7809456736
1964-01-01,25377.87340811969,14207.304126226869,35545.98611580937
1965-01-01,25521.788472628545,13116.973751935793,37529.78073555583
1966-01-01,25665.310326707528,14381.934261617176,36315.200058273986
1967-01-01,25808.83218078651,14349.534509394927,37653.13574847733
1968-01-01,25952.354034811367,14008.492196684181,36777.26630242865
1969-01-01,26096.269099395202,14541.62242646813,37758.350530195974
1970-01-01,26239.790953097432,14590.193580283456,37319.63383801577
1971-01-01,26383.31280679965,14276.66725813786,37793.40104088248
1972-01-01,26526.834660633394,15799.578871503678,38204.52108270932
1973-01-01,26670.74972502559,15223.416416153013,38093.777980978535
1974-01-01,26814.27157878769,15284.815471404898,38108.59372203931
1975-01-01,26957.793432549795,15755.719599293263,38411.75043320835
1976-01-01,27101.07832502002,15670.794974118233,39052.04428409502
1977-01-01,27244.75577883948,16233.553705556826,38274.29908444287
1978-01-01,27388.001067303645,16090.771057411288,38508.605417505
1979-01-01,27531.246355767806,16007.893397342568,38991.41873540438
1980-01-01,27674.33493943138,15981.15860566166,40480.2871076896
1981-01-01,27817.815546611844,15671.139717232421,39703.63936879088
1982-01-01,27960.75330673865,15709.101518991134,40255.280163541116
1983-01-01,28103.691066865453,16510.06902900121,39089.27916242618
1984-01-01,28246.35003430548,16749.10886961955,40047.70974954571
1985-01-01,28389.399848231635,17306.080281102782,40353.12194558793
1986-01-01,28531.73547558006,17375.500704348087,40820.220742013094
1987-01-01,28674.071102928487,17248.617981404583,40680.82258213979
1988-01-01,28816.15864353667,17845.00113042841,40114.53933278642
1989-01-01,28958.635465078034,17589.103174428226,40833.20856808416
1990-01-01,29100.40836295537,17679.772468991596,40031.87746659956
1991-01-01,29242.18126083271,17463.633912079014,40391.68758274249
1992-01-01,29383.831154789426,17521.319014100896,41647.65755330462
1993-01-01,29525.869130647392,17993.462425924812,41514.928095730414
1994-01-01,29667.51806129878,17806.92358553961,40729.46651224752
1995-01-01,29809.166991950173,17616.28402549748,41650.79446222695
1996-01-01,29950.815922540056,18097.37137066758,41625.88669546214
1997-01-01,30092.852932391826,18829.204752609643,41451.197368592046
1998-01-01,30234.50111319105,18386.583791200137,42017.57531199287
1999-01-01,30376.149293990267,19090.491886248354,42966.6425996356
2000-01-01,30517.696795742602,18828.179707882693,42547.22211998096
2001-01-01,30659.63209886961,19364.805904550216,42092.5321545335
2002-01-01,30801.179600801504,19593.205024370855,42261.79776083853
2003-01-01,30942.72710273339,19045.86001853771,42408.71787758454
2004-01-01,31084.274604228558,18812.0930432097,42371.49151348756
2005-01-01,31226.209907097676,19320.13051487065,42879.33733589225
2006-01-01,31367.757408675374,19950.931284002887,42511.29943833744
2007-01-01,31509.304910253075,19693.41553063036,42284.793022347454
2008-01-01,31650.852411933454,19829.651607707572,43719.888523550726
2009-01-01,31792.787714988306,19859.631261041588,43115.13563140346
2010-01-01,31934.335216324016,19916.347172864305,42771.85653575049
2011-01-01,32075.88271765973,20718.221437829798,43902.05816920239
2012-01-01,32217.43021877046,20750.745742210704,43609.050387344345
2013-01-01,32359.365521254098,20949.41832004658,43542.11520937699
2014-01-01,32500.91302236483,20415.786142832014,44183.846752947415
2015-01-01,32642.46052347556,20984.34774902584,44463.98662156296
2016-01-01,32784.00802458629,21114.429484784076,44560.4585954031
2017-01-01,32925.94332706993,21156.296749526846,44295.554628269325
2018-01-01,33067.49082818067,21771.4785426256,44042.29909223581
2019-01-01,33209.0383292914,22537.28095964741,45184.41973606681
2020-01-01,33350.58583040213,21742.1906564364,45061.959439714214
2021-01-01,33492.52113288577,22006.11406091782,44678.79129796442
2022-01-01,33634.0686339965,22537.364366535297,45333.191333627496
2023-01-01,33775.61613510724,22044.274499950494,45415.89972271859
2024-01-01,33917.16363621797,23634.1579334015,45549.20850971596
2025-01-01,34059.09893870161,22323.054082056413,45823.346537258316
2026-01-01,34200.646439812335,22779.197901208623,46619.80880664672
2027-01-01,34342.193940923076,23814.90870894311,45587.11928114464
2028-01-01,34483.7414420338,23193.31242095315,45733.64408135768
2029-01-01,34625.67674451744,21736.131159407036,48051.91780792326
2030-01-01,34767.224245628175,23977.258987369194,45442.55307337264
2031-01-01,34908.77174673891,22829.719672402192,46001.35104916806
2032-01-01,35050.31924784964,23747.16116836678,46689.34962519668
2033-01-01,35192.25455033328,23332.087839119657,47583.30606781659
2034-01-01,35333.80205144401,23540.172233107478,47149.67413755915
2035-01-01,35475.34955255474,23992.477703535136,47139.5944242811
2036-01-01,35616.897053665474,24030.416911882323,47857.90062545976
2037-01-01,35758.83235614911,23178.85157234709,46980.31150640087
2038-01-01,35900.379857259846,24160.96508983449,46536.79079589687
2039-01-01,36041.92735837058,23895.94626320766,47246.574392184935
2040-01-01,36183.47485948131,24966.71043669352,47724.84684732444
2041-01-01,36325.41016196495,24783.89974584661,48042.03515172839
2042-01-01,36466.95766307568,25208.530453311734,48026.201595511644
2043-01-01,36608.50516418641,25923.31716252804,48463.410907836325
2044-01-01,36750.05266529715,25298.4221049055,48035.949436438714
