Year,forecast,lower_ci,upper_ci
2025,259125.60629997987,221330.9167612915,296920.29583866824
2026,265938.53283106274,221585.4954267658,310291.5702353597
2027,269087.73902279406,221802.28359182036,316373.19445376773
2028,274894.3085502515,223017.21399152078,326771.40310898214
2029,278773.44387313444,223943.36815140978,333603.5195948591
2030,284050.58245850634,225564.87425823676,342536.29065877595
2031,288313.72372179525,226982.12715284436,349645.32029074617
2032,293312.3357788797,228853.24385808274,357771.42769967666
2033,297777.4974246602,230621.05596434427,364933.9388849761
2034,302629.5804053475,232682.0701424705,372577.0906682245
2035,307201.02226882183,234708.5406687784,379693.50386886526
2036,311976.01826479065,236927.80520574236,387024.23132383893
2037,316603.37272744795,239152.0128673672,394054.7325875287
2038,321337.814293135,241507.60636253486,401168.02222373517
2039,325994.58362541936,243888.3117549705,408100.85549586825
2040,330707.6900484558,246362.8361891791,415052.54390773247
2041,335379.93414971564,248871.32894126832,421888.53935816296
2042,340081.81643993204,251450.29116250502,428713.341717359
2043,344762.2016099058,254065.9253931188,435458.4778266928
2044,349458.17903416354,256737.09542830277,442179.2626400243
