year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,259125.6063,116786962.0,2.3779999999999997,277719.395636,-18593.789335999958
2026,265938.5328,117724471.0,2.3779999999999997,279948.792038,-14010.259238000028
2027,269087.739,118656413.0,2.3779999999999997,282164.95011399995,-13077.211113999947
2028,274894.3086,119583981.0,2.3779999999999997,284370.70681799995,-9476.398217999958
2029,278773.4439,120502129.0,2.3779999999999997,286554.06276199996,-7780.618861999945
2030,284050.5825,121408895.0,2.3779999999999997,288710.35230999993,-4659.769809999911
2031,288313.7237,122301597.0,2.3779999999999997,290833.19766599993,-2519.4739659999614
2032,293312.3358,123180331.0,2.3779999999999997,292922.82711799996,389.50868200004334
2033,297777.4974,124049029.0,2.3779999999999997,294988.59096199996,2788.9064380000345
2034,302629.5804,124904114.0,2.3779999999999997,297021.98309199995,5607.597308000026
2035,307201.0223,125740971.0,2.3779999999999997,299012.029038,8188.993262000033
2036,311976.0183,126558226.0,2.3779999999999997,300955.46142799995,11020.556872000045
2037,316603.3727,127352596.0,2.3779999999999997,302844.473288,13758.899412000028
2038,321337.8143,128118527.0,2.3779999999999997,304665.85720599996,16671.95709400007
2039,325994.5836,128850041.0,2.3779999999999997,306405.39749799995,19589.186102000065
2040,330707.69,129546659.0,2.3779999999999997,308061.9551019999,22645.734898000082
2041,335379.9341,130209801.0,2.3779999999999997,309638.90677799995,25741.027322000067
2042,340081.8164,130836996.0,2.3779999999999997,311130.376488,28951.43991200003
2043,344762.2016,131427393.0,2.3779999999999997,312534.34055399994,32227.861046000035
2044,349458.179,131979663.0,2.3779999999999997,313847.63861399994,35610.540386000066
