ds,yhat,yhat_lower,yhat_upper
1961-01-01,9391.03676741295,-12397.675177228475,29475.42788350808
1962-01-01,11416.8713421798,-10046.2230574086,33242.046813420864
1963-01-01,13442.70591694665,-8135.950218386028,36172.5946269298
1964-01-01,15468.540492295146,-5689.518800511443,34727.85719641069
1965-01-01,17499.925299356928,-5995.905463909587,40244.138765577656
1966-01-01,19525.75987553792,-1845.965574050225,39697.605438287384
1967-01-01,21551.59445171891,-153.34228577027073,43985.76685987206
1968-01-01,23577.429028146427,954.6843336733334,44080.78295917068
1969-01-01,25608.813836290192,3723.2775450013755,47697.84118697244
1970-01-01,27634.648412298593,5569.266986227157,48620.86377860804
1971-01-01,29660.482988306998,6729.411357893661,51272.21264153129
1972-01-01,31686.31756493779,11367.933755849577,53804.90216756767
1973-01-01,33717.702373285385,12035.427210617476,55353.94158757761
1974-01-01,35743.53694996654,13905.713847321489,57135.9952525468
1975-01-01,37769.37152664769,16551.639790214864,59464.19255515361
1976-01-01,39795.20610404041,18145.225089735253,62431.40664023866
1977-01-01,41826.590913152,20970.38739546412,62717.534368541565
1978-01-01,43852.42549068016,22454.45942808805,64915.846725155854
1979-01-01,45878.2600682083,24051.996876634752,67584.85358150222
1980-01-01,47904.094646196165,25756.17076265883,72159.71568388608
1981-01-01,49935.479455904555,26928.586886418376,72448.29494697899
1982-01-01,51961.31404267815,28755.58760041239,75248.24970806901
1983-01-01,53987.14862945175,32027.78950411668,74794.83697788649
1984-01-01,56013.2677494067,34236.46263523601,78366.10065251924
1985-01-01,58044.93788064919,37052.1373666632,80705.29968591906
1986-01-01,60071.320430242165,38940.41198524305,83346.81278204413
1987-01-01,62097.70297983513,40456.87085284234,84839.56629050245
1988-01-01,64125.9808199055,43345.62528786124,85526.12637232096
1989-01-01,66159.81558556513,44624.90252370496,88651.3212062704
1990-01-01,68189.29874896878,46557.590882680364,88894.4808767319
1991-01-01,70218.78191237243,47909.15767576125,91336.94607137187
1992-01-01,72249.46237387929,49780.8012966708,95478.2486199911
1993-01-01,74285.70634349987,52442.294545069584,96994.05844685822
1994-01-01,76317.21358278049,53852.184734803595,97269.53528750603
1995-01-01,78348.72082206112,55254.3077940132,100777.82446188826
1996-01-01,80381.86926319556,57930.38301181478,102495.49959192144
1997-01-01,82420.58797403178,61086.228907171186,103934.31023694249
1998-01-01,84453.84272903689,62012.825546385546,106772.04122532197
1999-01-01,86487.09748404202,65111.05096702474,110334.62012716636
2000-01-01,88524.18259131003,66383.18964745651,111309.18160538228
2001-01-01,90566.84875366643,69173.43573319225,112221.78604129226
2002-01-01,92605.61185535825,71376.70358254675,114313.04971668014
2003-01-01,94644.37495705004,72110.64253805204,116361.98903230748
2004-01-01,100170.0938123473,76925.48213968895,121549.0941649958
2005-01-01,105710.95162341242,83159.77026742365,127783.01929186411
2006-01-01,112306.96443777527,90682.47261594463,133413.83169275557
2007-01-01,118902.97725213807,96522.62386258019,139312.71740335744
2008-01-01,125500.60421623252,103110.19051248231,148360.44020243865
2009-01-01,132116.3068706396,109513.83913318871,153561.84849917726
2010-01-01,138716.4347919683,115953.2884216273,159243.67139710454
2011-01-01,145316.56271329703,123804.13440977407,167716.3988448782
2012-01-01,151917.59693325456,130198.66892479354,173494.34641535228
2013-01-01,158536.71617847233,136925.25365415282,179717.84625225014
2014-01-01,165137.75039842993,142247.4370557854,187266.27387361944
2015-01-01,171738.7846183875,149657.2742584932,194129.81445786328
2016-01-01,178339.8188383451,156236.59129134569,200645.47158963687
2017-01-01,184958.93808356285,162666.17270528496,206494.00079848463
2018-01-01,191559.9723035204,170164.3127199519,212347.24268502736
2019-01-01,198161.006523478,177947.74169449758,220843.45210566
2020-01-01,204762.04074343556,182774.69997440014,226944.43189763534
2021-01-01,211381.15998865332,189624.87561700935,232568.9581612799
2022-01-01,217982.19420861086,196964.0418726987,240141.3810419849
2023-01-01,224583.22842856852,202363.01604394434,246630.9687107927
2024-01-01,231184.26264852606,211707.32831527488,253216.3980678907
2025-01-01,237803.38189374385,215558.17918750836,260174.4498668461
2026-01-01,244404.41611370145,222686.72455593405,267988.0422548583
2027-01-01,251005.45033365893,231063.58530915758,272426.2910594171
2028-01-01,257606.48455361658,236175.4728199335,278195.23962820804
2029-01-01,264225.6037988343,239591.75840384883,289551.9284012067
2030-01-01,270826.6380187919,250386.25163368855,291441.61120965093
2031-01-01,277427.67223874945,254738.85945380758,298558.32520949066
2032-01-01,284028.70645870705,262679.86156495375,306318.39561426186
2033-01-01,290647.8257039248,267622.6958308432,314275.7729864721
2034-01-01,297248.8599238823,274974.4897338399,320347.19911236607
2035-01-01,303849.89414383995,281402.9102028814,326669.44567172014
2036-01-01,310450.92836379755,286882.296234767,333755.67159705656
2037-01-01,317070.0476090153,292633.28018883785,338576.0744945031
2038-01-01,323671.08182897285,299795.9465869539,345740.5728862731
2039-01-01,330272.11604893045,306053.84075122804,353093.7898087713
2040-01-01,336873.15026888804,314006.40313445637,360141.2321844369
2041-01-01,343492.2695141058,320798.07634129806,367137.6149833062
2042-01-01,350093.30373406335,328209.2195699168,372912.2823932881
2043-01-01,356694.3379540209,333651.6116988873,380370.64827233343
2044-01-01,363295.37217397854,339694.21576911956,385707.11840828694
