Year,forecast,lower_ci,upper_ci
2025,2964446.70984127,2803913.248646022,3124980.171036518
2026,3008953.68968254,2781925.0916455253,3235982.2877195547
2027,3053460.66952381,2775408.5584187536,3331512.7806288665
2028,3097967.64936508,2776900.7269745837,3419034.5717555764
2029,3142474.62920635,2783510.8973104507,3501438.3611022495
2030,3186981.60904762,2793756.5424763784,3580206.675618862
2031,3231488.58888889,2806756.973461826,3656220.2043159544
2032,3275995.56873016,2821938.37265613,3730052.76480419
2033,3320502.54857143,2838902.1649856856,3802102.9321571747
2034,3365009.5284127,2857358.1503654597,3872660.9064599406
2035,3409516.50825397,2877087.251172254,3941945.7653356865
2036,3454023.48809524,2897919.2658851272,4010127.710305353
2037,3498530.46793651,2919718.8421693346,4077342.093703686
2038,3543037.4477777802,2942376.2368721925,4143698.658683368
2039,3587544.4276190503,2965801.00590082,4209287.849337281
2040,3632051.4074603203,2989917.562679328,4274185.2522413125
2041,3676558.3873015903,3014661.9703475884,4338454.804255592
2042,3721065.3671428603,3039979.5730318157,4402151.161253905
2043,3765572.3469841303,3065823.212577236,4465321.481391025
2044,3810079.3268254003,3092151.8630336015,4528006.7906172
