year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,2908839.753,116786962.0,3.2880000000000003,383995.53105600004,2524844.221944
2026,3113735.0255,117724471.0,3.2880000000000003,387078.060648,2726656.964852
2027,3135785.9508,118656413.0,3.2880000000000003,390142.285944,2745643.6648560003
2028,3117224.8516,119583981.0,3.2880000000000003,393192.1295280001,2724032.722072
2029,3262857.6937,120502129.0,3.2880000000000003,396211.000152,2866646.6935480004
2030,3245214.4894,121408895.0,3.2880000000000003,399192.4467600001,2846022.0426399997
2031,3263932.0783,122301597.0,3.2880000000000003,402127.65093600005,2861804.427364
2032,3406885.9465,123180331.0,3.2880000000000003,405016.928328,3001869.018172
2033,3389242.7423,124049029.0,3.2880000000000003,407873.20735200006,2981369.5349479998
2034,3407960.3311,124904114.0,3.2880000000000003,410684.726832,2997275.604268
2035,3550914.1993,125740971.0,3.2880000000000003,413436.3126480001,3137477.886652
2036,3533270.9951,126558226.0,3.2880000000000003,416123.4470880001,3117147.548012
2037,3551988.584,127352596.0,3.2880000000000003,418735.33564800007,3133253.2483519996
2038,3694942.4522,128118527.0,3.2880000000000003,421253.71677600004,3273688.7354240003
2039,3677299.2479,128850041.0,3.2880000000000003,423658.93480800005,3253640.313092
2040,3696016.8368,129546659.0,3.2880000000000003,425949.4147920001,3270067.4220080003
2041,3838970.705,130209801.0,3.2880000000000003,428129.825688,3410840.8793120002
2042,3821327.5008,130836996.0,3.2880000000000003,430192.04284800007,3391135.457952
2043,3840045.0896,131427393.0,3.2880000000000003,432133.26818400004,3407911.821416
2044,3982998.9578,131979663.0,3.2880000000000003,433949.131944,3549049.825856
