ds,yhat,yhat_lower,yhat_upper
1961-01-01,-88295.38167950277,-247852.04789555186,58780.70513119511
1962-01-01,-41753.55313308749,-198925.7530217045,118070.13202182774
1963-01-01,4788.27541332779,-153230.1720802116,171237.08960854475
1964-01-01,51330.10329272496,-103608.35350724045,192364.2486205989
1965-01-01,97999.44302932598,-74058.29200742899,264553.15605268074
1966-01-01,144541.27001979866,-11961.843734000386,292257.77742944646
1967-01-01,191083.09701027145,32139.90867206724,355366.40883960214
1968-01-01,237624.92439571908,71960.71564038406,387769.036071238
1969-01-01,284294.26363701746,124028.56193512343,446050.11102187244
1970-01-01,330836.11491678446,169253.42438994301,484516.1749794383
1971-01-01,377377.9661965515,209455.90860057712,535638.607917461
1972-01-01,423936.89917867066,275147.30612181424,585909.1915096636
1973-01-01,470623.3908812886,311846.15110116685,629063.5137878852
1974-01-01,517200.9131045885,357284.61054725514,673855.85156987
1975-01-01,563778.4353278884,408403.00289603806,722647.547290863
1976-01-01,610414.5997365483,451873.8469348279,776177.3443416505
1977-01-01,657178.5344586564,504450.5388038184,810160.9273747146
1978-01-01,703843.2701003918,547147.9988321415,858088.7013960135
1979-01-01,750508.0057421268,590676.3553146215,909463.326492047
1980-01-01,797181.4196192074,634994.2785232823,974803.0266057308
1981-01-01,843982.7058630745,675505.4187382243,1008841.9135123946
1982-01-01,890656.1551730009,720722.8265000252,1061184.1712667271
1983-01-01,937329.6044829275,776523.3051853165,1089702.328165443
1984-01-01,984003.0535349147,824533.5799064742,1147690.7239014127
1985-01-01,1030804.3750500578,877076.0925769889,1196744.0503316685
1986-01-01,1077477.823823338,922738.1901007581,1247922.041619517
1987-01-01,1124151.272596618,965677.5162269425,1290687.7756542738
1988-01-01,1170824.7210143574,1018652.1529478617,1327535.95247939
1989-01-01,1217626.0418935157,1059927.9207685587,1382329.1993879557
1990-01-01,1264299.4893691286,1105892.549093189,1415921.56974247
1991-01-01,1310972.9368447412,1147601.6794353796,1465619.2453724872
1992-01-01,1357646.384120618,1193110.5150464773,1527748.5775449667
1993-01-01,1404447.7038547844,1244490.4758095078,1570738.807527076
1994-01-01,1451121.1522310653,1286611.8816262877,1604553.0122320578
1995-01-01,1497794.6006073467,1328676.4094846242,1662040.794328091
1996-01-01,1544468.0500149336,1380057.9505575958,1706404.0626691082
1997-01-01,1591269.371886651,1435039.8886013124,1748812.3148054148
1998-01-01,1637942.8233276643,1473609.387865385,1801376.8692255018
1999-01-01,1684616.274768677,1528081.518248879,1859249.4160078703
2000-01-01,1731294.338103971,1569157.9516204572,1898146.7198169443
2001-01-01,1778100.2865442927,1621438.3567706347,1936677.3336643698
2002-01-01,1824796.092370366,1669338.8152251176,1983757.5962006263
2003-01-01,1871491.8981964397,1706479.5178724134,2030527.9214739436
2004-01-01,1923168.760931428,1752950.679412931,2079725.148108746
2005-01-01,1974987.2041122646,1809847.0468814466,2136618.857356426
2006-01-01,2026684.7555186928,1868330.657650321,2181248.3378922525
2007-01-01,2078382.3069251203,1914493.1066526314,2227840.8937905673
2008-01-01,2130096.3384350827,1966133.467438152,2297496.744180579
2009-01-01,2181952.052223154,2016436.3296964539,2338995.7148380294
2010-01-01,2233672.3772091973,2066980.0203288356,2383991.3794368203
2011-01-01,2285392.7021952407,2127859.2348180627,2449424.5727354293
2012-01-01,2337113.16384416,2178067.518758716,2495117.6490973164
2013-01-01,2388975.3253880073,2230716.6398266726,2544082.7273237896
2014-01-01,2440695.7870369265,2273072.1985075767,2602740.86078683
2015-01-01,2492416.248685845,2330715.447509924,2656383.631586121
2016-01-01,2544136.710334764,2382276.8762622266,2707478.884934683
2017-01-01,2595998.8718786114,2432751.0702861287,2753698.088898712
2018-01-01,2647719.33352753,2491040.9523859033,2799942.538379278
2019-01-01,2699439.795176449,2551419.978417735,2865541.1878569825
2020-01-01,2751160.256825368,2590149.050611028,2913599.7984677064
2021-01-01,2803022.418369216,2643703.2161874846,2958178.6501589622
2022-01-01,2854742.8800181346,2700828.9485631837,3017012.4986249963
2023-01-01,2906463.3416670538,2743746.8387498115,3067916.8477745657
2024-01-01,2958183.8033159724,2815556.0647778646,3119523.036496248
2025-01-01,3010045.96485982,2847246.105442804,3173318.638277323
2026-01-01,3061766.426508739,2903355.387640581,3234027.828774788
2027-01-01,3113486.888157658,2967582.579365597,3269680.9826609013
2028-01-01,3165207.349806577,3008300.763131337,3321370.9941274007
2029-01-01,3217069.5113504245,3037954.3375767865,3402610.36552985
2030-01-01,3268789.9729993436,3118582.5651974254,3416912.723342296
2031-01-01,3320510.4346482623,3153323.373558852,3473974.7533896556
2032-01-01,3372230.896297181,3215739.8404472633,3533045.6756000775
2033-01-01,3424093.057841029,3258419.202041278,3595534.2337319045
2034-01-01,3475813.5194899472,3315609.142695534,3640110.1735305917
2035-01-01,3527533.981138866,3368391.904866139,3688014.59053479
2036-01-01,3579254.4427877855,3419130.985718247,3749556.724162852
2037-01-01,3631116.6043316335,3455570.8608598346,3787454.4142148215
2038-01-01,3682837.0659805513,3519178.4578615855,3834360.5039254837
2039-01-01,3734557.5276294705,3568787.029307909,3890042.3183967066
2040-01-01,3786277.98927839,3628883.983613711,3948253.10054097
2041-01-01,3838140.150822237,3679286.3377278005,3997873.785077061
2042-01-01,3889860.612471156,3731640.2730127717,4053186.9776466475
2043-01-01,3941581.074120075,3793062.862723754,4107062.247968991
2044-01-01,3993301.5357689946,3830637.344299935,4149796.3554778676
