Year,forecast,lower_ci,upper_ci
2025,19876306.821362335,18429232.161328033,21323381.481396638
2026,20482147.65141476,18782170.48779394,22182124.815035578
2027,20610355.201277975,18805890.24439885,22414820.1581571
2028,20997323.82703308,19039104.714862745,22955542.939203415
2029,21244106.88119191,19172367.871144168,23315845.89123965
2030,21566836.42156795,19372890.23852308,23760782.60461282
2031,21848421.43684727,19546333.92516169,24150508.94853285
2032,22152296.77824639,19743007.959604077,24561585.596888706
2033,22444096.18396855,19934220.295562454,24953972.07237465
2034,22742437.809920706,20134789.939617354,25350085.680224057
2035,23037235.143597487,20335907.804240685,25738562.48295429
2036,23333952.621704087,20541795.731129903,26126109.51227827
2037,23629629.848515112,20749659.691787347,26509600.005242877
2038,23925870.63853583,20960606.026359785,26891135.250711877
2039,24221806.114357304,21173675.32868817,27269936.900026437
2040,24517906.99622136,21389081.547790643,27646732.444652077
2041,24813918.268237624,21606439.498601913,28021397.037873335
2042,25109978.086997986,21825722.826327242,28394233.34766873
2043,25406011.605229773,22046737.448157527,28765285.76230202
2044,25702059.371951673,22269403.66587712,29134715.078026228
