year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,19614055.2671,116786962.0,194.646,22732115.005452,-3118059.7383520007
2026,20168735.4957,117724471.0,194.646,22914597.382266,-2745861.886565998
2027,20826895.2763,118656413.0,194.646,23095996.164797995,-2269100.888497997
2028,21156244.1447,119583981.0,194.646,23276543.565725997,-2120299.421025999
2029,21694400.3133,120502129.0,194.646,23455257.401334,-1760857.0880340002
2030,21415400.5901,121408895.0,194.646,23631755.776169997,-2216355.186069995
2031,21983002.1516,122301597.0,194.646,23805516.649662,-1822514.4980619997
2032,22525143.8432,123180331.0,194.646,23976558.707826,-1451414.8646260016
2033,22257020.3115,124049029.0,194.646,24145647.298733998,-1888626.9872339964
2034,22824621.873,124904114.0,194.646,24312086.173644,-1487464.3006439991
2035,23366763.5646,125740971.0,194.646,24474977.041265998,-1108213.4766659997
2036,23098640.0329,126558226.0,194.646,24634052.457996,-1535412.4250959978
2037,23666241.5944,127352596.0,194.646,24788673.401016,-1122431.8066160008
2038,24208383.286,128118527.0,194.646,24937758.806441996,-729375.5204419978
2039,23940259.7543,128850041.0,194.646,25080145.080486,-1139885.3261860013
2040,24507861.3158,129546659.0,194.646,25215738.987713996,-707877.6719139963
2041,25050003.0074,130209801.0,194.646,25344816.925446,-294813.91804600134
2042,24781879.4757,130836996.0,194.646,25466897.923415996,-685018.4477159977
2043,25349481.0372,131427393.0,194.646,25581816.337878,-232335.30067799985
2044,25891622.7288,131979663.0,194.646,25689313.484298,202309.2445020005
