ds,yhat,yhat_lower,yhat_upper
1961-01-01,3201890.430023154,2266746.429153403,4063887.1332269497
1962-01-01,3422428.1822013017,2501259.275160315,4359137.1515848795
1963-01-01,3642965.934379449,2716837.263577028,4618504.053456071
1964-01-01,3863503.68668486,2955426.5012144926,4690089.238068661
1965-01-01,4084645.6520102858,3076234.26727383,5060798.571534659
1966-01-01,4305183.404175048,3387935.937083131,5170933.541787723
1967-01-01,4525721.15633981,3594172.681565824,5488567.505186127
1968-01-01,4746258.908654694,3775319.2754173405,5626236.966789608
1969-01-01,4967400.87398962,4028101.294436031,5915434.032834443
1970-01-01,5187938.626243762,4240920.320622066,6088640.487401339
1971-01-01,5408476.378497904,4424303.742539526,6336024.5229214635
1972-01-01,5629014.410973947,4756975.036883694,6578316.129746096
1973-01-01,5850156.657237595,4919580.788636851,6778756.721070381
1974-01-01,6070694.689988344,5133442.900236921,6988831.984948276
1975-01-01,6291232.722739093,5380594.471345413,7222347.044058104
1976-01-01,6511770.755742683,5582580.911207123,7483287.896714222
1977-01-01,6732913.002535323,5837791.085735601,7629525.913589998
1978-01-01,6953451.035449692,6035077.354385507,7857466.474969819
1979-01-01,7173989.06836406,6237233.415397435,8105608.649863333
1980-01-01,7394527.101458162,6443966.177800466,8435547.725274533
1981-01-01,7615669.348341564,6628242.573428371,8581890.958992735
1982-01-01,7836207.381805436,6840246.908169164,8835653.25274347
1983-01-01,8056745.415269305,7114277.452905344,8949785.122271882
1984-01-01,8277283.64149339,7342650.666750947,9236639.001502655
1985-01-01,8498426.082035897,7597441.594656073,9470980.19416402
1986-01-01,8718974.501378788,7812062.5960089695,9717929.239748731
1987-01-01,8939522.920721676,8010725.734875925,9915574.974537583
1988-01-01,9160072.52491838,8268205.907878134,10078539.746933423
1989-01-01,9381226.374606036,8456975.101276277,10346533.392532052
1990-01-01,9601950.246921673,8673544.662822815,10490590.516382629
1991-01-01,9822674.119237311,8865173.220628379,10729039.055946099
1992-01-01,10043570.229682049,9079243.670713766,11040520.400978405
1993-01-01,10265071.534949921,9327579.885433061,11239685.33006763
1994-01-01,10607897.913604803,9643727.245328194,11507145.101609685
1995-01-01,10950724.292259688,9959541.249789912,11913353.095970526
1996-01-01,11293615.94423088,10330026.507097958,12242705.031823557
1997-01-01,11637447.025385559,10721803.27625231,12560788.81638513
1998-01-01,11980386.05731709,11017245.93939321,12938254.952323252
1999-01-01,12323325.08924862,11405892.167399488,13346830.645335784
2000-01-01,12666348.148629425,11716084.692150246,13644251.532361707
2001-01-01,13010310.997214014,12092132.726967737,13939713.558741486
2002-01-01,13353334.056824243,12442216.122603437,14284989.876674594
2003-01-01,13696357.116434474,12729237.777651688,14628449.686535945
2004-01-01,14039380.176221156,13041750.797602503,14956939.872965338
2005-01-01,14383343.025212731,13415474.800089628,15330648.29591369
2006-01-01,14726366.085109618,13798270.204526132,15632246.172964158
2007-01-01,15069389.1450065,14108852.640473146,15945349.417932004
2008-01-01,15412412.204820054,14451443.924306195,16393527.496888729
2009-01-01,15756375.053838573,14786305.681989932,16676790.618112516
2010-01-01,16099396.430669466,15122430.9348096,16980399.50301712
2011-01-01,16442417.807500355,15519131.551603634,17403790.48671764
2012-01-01,16785419.824361358,15853270.861906085,17711466.66401474
2013-01-01,17129361.57277541,16201824.8931871,18038428.92703021
2014-01-01,17472363.589636415,16489940.247917622,18422091.872267555
2015-01-01,17815365.606497418,16867655.06740441,18776360.330778535
2016-01-01,18158367.62335842,17209725.01002033,19115698.07083282
2017-01-01,18502309.37177247,17545532.03407306,19426567.068022646
2018-01-01,18845311.388633475,17927036.698736254,19737474.782280266
2019-01-01,19188313.40549448,18320785.60528134,20161815.32543926
2020-01-01,19531315.422355484,18587646.523180418,20483355.63774315
2021-01-01,19875257.17076953,18941504.920381792,20784610.711406138
2022-01-01,20218259.187630538,19316186.632069096,21169303.50287185
2023-01-01,20561261.204491545,19607597.74965647,21507522.37449737
2024-01-01,20904263.221352547,20068337.796143863,21849854.650350984
2025-01-01,21248204.9697666,20293728.778737053,22206912.707126476
2026-01-01,21591206.9866276,20659977.353973404,22603574.491882633
2027-01-01,21934209.003488604,21076107.116652466,22853604.924992952
2028-01-01,22277211.020349614,21359812.075918436,23176110.85528786
2029-01-01,22621152.76876366,21566657.195397884,23707997.92598168
2030-01-01,22964154.785624668,22082365.069289755,23834441.113763206
2031-01-01,23307156.802485667,22330442.873191502,24212629.23006032
2032-01-01,23650158.819346674,22733377.32364207,24606512.422550496
2033-01-01,23994100.56776072,23028520.32114377,25013264.393726595
2034-01-01,24337102.584621724,23382833.47611329,25314953.928997118
2035-01-01,24680104.60148273,23738311.80454344,25654717.69044845
2036-01-01,25023106.618343737,24046740.325668354,26040617.97739773
2037-01-01,25367048.366757784,24330913.67654161,26286311.899340466
2038-01-01,25710050.383618787,24720807.229870312,26624398.216945842
2039-01-01,26053052.400479794,25039534.035425194,27010922.177134022
2040-01-01,26396054.4173408,25452601.799544748,27356559.673631333
2041-01-01,26739996.16575485,25799754.815008026,27731322.74312991
2042-01-01,27082998.18261585,26127899.306339648,28049294.189020734
2043-01-01,27426000.199476857,26506644.39089718,28417734.288726322
2044-01-01,27769002.216337863,26794391.248293597,28715482.484457385
