year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,24610442.4733,116786962.0,1.2959999999999998,151355.90275199997,24459086.570547998
2026,24610442.4733,117724471.0,1.2959999999999998,152570.91441599999,24457871.558884
2027,24610442.4733,118656413.0,1.2959999999999998,153778.71124799998,24456663.762052
2028,24610442.4733,119583981.0,1.2959999999999998,154980.839376,24455461.633924
2029,24610442.4733,120502129.0,1.2959999999999998,156170.759184,24454271.714116
2030,24610442.4733,121408895.0,1.2959999999999998,157345.92792,24453096.54538
2031,24610442.4733,122301597.0,1.2959999999999998,158502.86971199999,24451939.603588
2032,24610442.4733,123180331.0,1.2959999999999998,159641.708976,24450800.764324
2033,24610442.4733,124049029.0,1.2959999999999998,160767.541584,24449674.931716
2034,24610442.4733,124904114.0,1.2959999999999998,161875.731744,24448566.741556
2035,24610442.4733,125740971.0,1.2959999999999998,162960.29841599998,24447482.174884
2036,24610442.4733,126558226.0,1.2959999999999998,164019.46089599998,24446423.012404
2037,24610442.4733,127352596.0,1.2959999999999998,165048.96441599997,24445393.508883998
2038,24610442.4733,128118527.0,1.2959999999999998,166041.61099199997,24444400.862308
2039,24610442.4733,128850041.0,1.2959999999999998,166989.65313599998,24443452.820164
2040,24610442.4733,129546659.0,1.2959999999999998,167892.470064,24442550.003236
2041,24610442.4733,130209801.0,1.2959999999999998,168751.90209599998,24441690.571204
2042,24610442.4733,130836996.0,1.2959999999999998,169564.746816,24440877.726483997
2043,24610442.4733,131427393.0,1.2959999999999998,170329.90132799998,24440112.571971998
2044,24610442.4733,131979663.0,1.2959999999999998,171045.64324799998,24439396.830052
