ds,yhat,yhat_lower,yhat_upper
1961-01-01,25964890.57292,19760993.767569,31683516.35489084
1962-01-01,25922206.007774528,19811022.239001974,32136485.06778831
1963-01-01,25879521.44262906,19735433.79752705,32351399.372454472
1964-01-01,25836836.877818763,19812505.710948136,31320539.34162091
1965-01-01,25794035.36899528,19104070.86895307,32269991.98459548
1966-01-01,25751350.800517954,19666182.499683805,31494877.47445483
1967-01-01,25708666.232040625,19528622.729323577,32096344.901952256
1968-01-01,25665981.661046114,19224610.831283536,31503898.664806634
1969-01-01,25623180.14602148,19391714.558432598,31912585.713564016
1970-01-01,25580495.576664463,19297822.709821504,31555897.647160638
1971-01-01,25537811.007307447,19008650.29360206,31691315.67038238
1972-01-01,25495126.43744281,19709875.94978842,31792947.83706384
1973-01-01,25452324.923551146,19278733.847760256,31612808.190409366
1974-01-01,25409640.35128728,19191760.13301037,31500711.914359715
1975-01-01,25366955.77902341,19325634.08589676,31544119.03738253
1976-01-01,25324208.2504827,19159812.282891333,31769410.36011644
1977-01-01,25281343.605425444,19342959.789811444,31229618.918484222
1978-01-01,25238595.771562696,19145955.9847775,31235980.657752056
1979-01-01,25195847.93769995,18981259.17123299,31376363.17395262
1980-01-01,25152917.477063943,18846742.3082272,32059216.95221657
1981-01-01,25109869.39872756,18559120.199989747,31519940.102282017
1982-01-01,25066891.133999027,18459527.995379552,31697376.962990973
1983-01-01,25023912.8692705,18771427.71680485,30948482.967749428
1984-01-01,24980934.35823692,18780427.783006318,31345453.242625087
1985-01-01,24937838.097858034,18960561.03921492,31389919.642145254
1986-01-01,24894859.58297219,18878259.07307676,31522087.15893857
1987-01-01,24851881.068086352,18690090.06185819,31327168.524235237
1988-01-01,24808902.554924987,18892114.92530961,30902162.907532826
1989-01-01,24765806.292412493,18634173.606303092,31169809.43965423
1990-01-01,24722827.77824931,18563634.721453805,30618211.29531999
1991-01-01,24679849.26408612,18327633.17707084,30692821.09526935
1992-01-01,24636870.75219903,18239372.128528006,31250799.705437385
1993-01-01,24593774.49096431,18374303.004143562,31059520.305895675
1994-01-01,24550795.982025985,18154331.562459517,30516547.515154175
1995-01-01,24507817.47308766,17932148.58682295,30894052.913325835
1996-01-01,24464838.967249542,18072230.529256117,30761249.73717737
1997-01-01,24421742.712080356,18347213.736003906,30547341.74506518
1998-01-01,24378764.20607467,17989136.624508668,30733421.64080863
1999-01-01,24335785.700068984,18249387.06232977,31125887.378273044
2000-01-01,24292807.197885126,17988605.474503618,30780376.67663499
2001-01-01,24249710.94638022,18158367.546619732,30415518.112958413
2002-01-01,24206732.441012286,18162228.45429661,30387488.088357016
2003-01-01,24163753.935644355,17747727.558222976,30347407.054913342
2004-01-01,24120775.430550743,17502340.50589725,30208015.113482654
2005-01-01,24077679.17612812,17656684.565397266,30362255.815798406
2006-01-01,24034700.670226216,17877562.236727066,30044455.935559534
2007-01-01,23991722.16432432,17619367.375804976,29802984.530080356
2008-01-01,23948743.656152293,17573524.39582584,30457621.45517015
2009-01-01,23905647.3986428,17470050.02392483,30011833.36944899
2010-01-01,23862668.894013755,17381321.51535761,29707386.008125134
2011-01-01,23819690.389384713,17694459.785269495,30197592.496226717
2012-01-01,23776711.88526539,17592684.649985105,29920256.649267167
2013-01-01,23733615.631819714,17580187.028319262,29764515.73882448
2014-01-01,23690637.12770039,17173081.515385255,29991288.42107
2015-01-01,23647658.623581067,17360393.36774001,30023053.316143684
2016-01-01,23604680.11946174,17311231.332072563,29955765.406035576
2017-01-01,23561583.866016064,17214167.99929933,29693259.162820086
2018-01-01,23518605.361896742,17426622.29855085,29437361.855601024
2019-01-01,23475626.857777417,17720306.882148225,29933996.312675565
2020-01-01,23432648.3536581,17172195.991822656,29748637.383492924
2021-01-01,23389552.100212418,17194888.393037923,29422350.814039413
2022-01-01,23346573.596093096,17362078.116854165,29655955.663010288
2023-01-01,23303595.091973774,16976837.228662226,29581244.998476774
2024-01-01,23260616.58785445,17714951.887936063,29533823.324009046
2025-01-01,23217520.33440877,16888228.717013042,29562009.584907375
2026-01-01,23174541.83028945,17014860.4114685,29872243.373783194
2027-01-01,23131563.326170124,17454154.807864934,29195961.44175085
2028-01-01,23088584.822050802,16999667.663719904,29155682.09979453
2029-01-01,23045488.568605125,16094165.824166005,30286404.407815706
2030-01-01,23002510.0644858,17183429.137696266,28759338.92787021
2031-01-01,22959531.560366478,16445160.964739904,28941780.246441007
2032-01-01,22916553.056247152,16821046.79878329,29193545.875730157
2033-01-01,22873456.802801475,16477154.234092688,29556061.18768646
2034-01-01,22830478.298682153,16470409.689488929,29202518.23350983
2035-01-01,22787499.794562828,16594739.357600562,29079014.187746573
2036-01-01,22744521.29044351,16495695.274608016,29346582.554803375
2037-01-01,22701425.03699783,15916662.618192554,28753083.652427055
2038-01-01,22658446.532878503,16328260.080657788,28394407.199065555
2039-01-01,22615468.028759185,16065165.25006752,28658440.46413653
2040-01-01,22572489.52463986,16523951.63759984,28798745.520452082
2041-01-01,22529393.271194182,16305728.879852073,28849647.26183093
2042-01-01,22486414.76707486,16417456.050651755,28719688.981507886
2043-01-01,22443436.262955535,16681120.161607755,28837604.40669028
2044-01-01,22400457.758836213,16224355.68605149,28485544.91956355
